ZCTA,cancer_25to34,cancer_35to44,cancer_45to54,cancer_55to64,cancer_65to74,cancer_75to84,cancer_85up
ZCTA33313,6,14,37,86,101,89,53
ZCTA33314,1,8,14,55,76,48,25
ZCTA33315,2,3,11,43,46,32,17
ZCTA33316,1,2,5,23,56,32,42
ZCTA33317,1,7,21,50,90,74,46
ZCTA33318,,,,,1,,
ZCTA33319,3,14,33,83,149,152,141
ZCTA33320,,,,1,,1,
ZCTA33321,2,9,20,95,162,213,223
ZCTA33322,1,5,16,81,152,174,135
ZCTA33323,2,6,9,33,45,33,22
ZCTA33324,1,9,27,81,116,98,93
ZCTA33325,1,3,15,65,52,49,22
ZCTA33326,1,6,8,42,49,65,53
ZCTA33327,1,1,7,17,16,27,11
ZCTA33328,1,3,18,34,53,55,36
ZCTA33330,1,2,11,22,22,23,24
ZCTA33331,1,1,14,23,35,54,20
ZCTA33332,,,3,3,15,10,4
ZCTA33334,2,5,16,74,86,46,35
ZCTA33335,,,,,,,1
ZCTA33348,,,,,1,,
ZCTA33351,5,2,21,56,76,51,40
ZCTA33355,,,,,1,,
ZCTA33388,,,,,1,1,
ZCTA33401,1,2,17,42,73,80,84
ZCTA33403,1,4,4,30,34,28,14
ZCTA33404,5,8,22,73,82,106,49
ZCTA33405,,2,14,33,32,35,25
ZCTA33406,3,3,20,35,44,67,27
ZCTA33407,4,6,37,80,79,46,41
ZCTA33408,1,1,7,29,69,84,95
ZCTA33409,3,3,13,47,50,36,26
ZCTA33410,5,4,24,68,104,121,105
ZCTA33411,3,16,50,102,170,161,139
ZCTA33412,4,4,15,26,52,56,21
ZCTA33413,1,4,11,26,33,32,23
ZCTA33414,2,6,30,53,121,77,74
ZCTA33415,6,7,34,92,123,87,57
ZCTA33416,,,,3,,,1
ZCTA33417,,3,19,67,114,155,122
ZCTA33418,,2,21,57,115,184,136
ZCTA33419,,,,1,,,1
ZCTA33421,,,,,,2,1
ZCTA33422,,,,,,1,
ZCTA33425,,,,,,1,1
ZCTA33426,7,3,11,48,66,77,87
ZCTA33427,,,,,1,,1
ZCTA33428,3,5,18,65,89,86,99
ZCTA33430,1,3,13,32,38,43,18
ZCTA33431,,4,7,16,45,50,43
ZCTA33432,1,2,12,31,39,55,90
ZCTA33433,,,,,1,,
ZCTA33433,1,4,14,53,107,187,276
ZCTA33434,2,2,4,44,80,116,158
ZCTA33435,3,5,19,76,96,106,73
ZCTA33436,,2,21,63,144,174,182
ZCTA33437,2,4,8,45,147,347,368
ZCTA33438,,,1,1,3,2,
ZCTA33440,,2,9,45,36,42,18
ZCTA33441,,6,25,59,70,85,51
ZCTA33441,,,1,1,,,
ZCTA33442,,1,18,56,86,164,169
ZCTA33442,,,,,1,,1
ZCTA33443,,,,,1,,
ZCTA33444,,3,15,39,66,42,29
ZCTA33445,4,5,14,55,87,131,151
ZCTA33446,,2,6,29,141,202,229
ZCTA33448,,,,,,,1
ZCTA33449,1,,8,13,20,50,23
ZCTA33454,,,,,,1,
ZCTA33455,1,2,4,42,91,106,105
ZCTA33458,,,,,5,6,
ZCTA33458,4,9,27,74,106,111,92
ZCTA33459,,,,1,,,
ZCTA33460,5,14,20,63,81,43,40
ZCTA33461,1,7,28,69,85,70,51
ZCTA33462,5,3,25,62,90,87,104
ZCTA33463,3,10,45,93,123,106,82
ZCTA33464,,,,,,,1
ZCTA33465,,,1,,1,1,2
ZCTA33467,2,7,29,101,164,235,158
ZCTA33468,,,,,2,,
ZCTA33469,,1,3,5,16,26,21
ZCTA33469,,1,9,15,39,53,44
ZCTA33470,,6,23,67,58,44,26
ZCTA33471,,4,5,12,28,29,4
ZCTA33472,,1,8,23,61,106,83
ZCTA33473,,1,5,7,15,24,7
ZCTA33474,,,,,,1,
ZCTA33475,,,,,,1,
ZCTA33476,,5,3,17,18,21,11
ZCTA33477,,1,4,14,38,103,84
ZCTA33478,,,,1,2,,
ZCTA33478,,,8,30,37,25,20
ZCTA33480,1,,1,10,47,52,86
ZCTA33483,,,3,10,40,55,45
ZCTA33484,3,1,9,46,117,196,269
ZCTA33486,1,3,9,37,50,50,40
ZCTA33487,2,2,8,24,52,67,62
ZCTA33493,1,1,3,5,6,8,4
ZCTA33496,,2,10,28,78,106,119
ZCTA33498,1,,9,22,41,35,42
ZCTA33503,,,,,,,1
ZCTA33510,5,9,19,49,83,65,32
ZCTA33511,3,13,33,90,118,116,61
ZCTA33513,1,2,12,44,57,42,25
ZCTA33514,,1,,5,9,11,2
ZCTA33521,,,1,6,4,3,
ZCTA33523,1,,2,6,17,13,7
ZCTA33523,1,2,9,41,40,37,19
ZCTA33524,,,,2,,,
ZCTA33525,2,5,19,39,75,85,40
ZCTA33527,2,5,17,29,40,28,21
ZCTA33530,,,,1,,,
ZCTA33534,1,4,18,38,42,18,7
ZCTA33537,,,,2,1,2,1
ZCTA33538,,,14,30,36,24,8
ZCTA33539,,,,,,1,1
ZCTA33540,,,,1,,1,
ZCTA33540,2,,5,35,56,41,29
ZCTA33541,,,,,,,1
ZCTA33541,,5,21,53,119,133,76
ZCTA33542,1,4,19,65,105,130,86
ZCTA33543,,10,22,39,66,52,35
ZCTA33544,,3,19,31,42,40,17
ZCTA33545,2,5,15,22,27,20,10
ZCTA33547,,4,17,26,56,49,25
ZCTA33548,,1,8,8,21,22,18
ZCTA33548,,,1,,2,,
ZCTA33549,,1,8,27,49,36,36
ZCTA33549,,,3,7,14,17,4
ZCTA33550,,,,,,1,
ZCTA33556,,2,12,26,32,41,13
ZCTA33556,1,1,6,14,17,18,2
ZCTA33558,3,1,10,31,43,32,15
ZCTA33558,,,3,4,19,11,3
ZCTA33559,,3,5,7,11,11,12
ZCTA33559,1,2,6,5,16,15,4
ZCTA33563,2,3,19,41,74,68,33
ZCTA33565,3,2,8,40,66,56,28
ZCTA33566,1,5,15,48,54,53,24
ZCTA33567,1,3,13,21,31,33,10
ZCTA33568,,,1,,,,1
ZCTA33569,2,8,16,56,78,60,30
ZCTA33570,3,7,11,62,105,78,27
ZCTA33572,2,4,9,34,62,59,21
ZCTA33573,1,3,7,46,146,240,237
ZCTA33576,,2,2,5,31,33,16
ZCTA33578,8,9,29,49,99,81,29
ZCTA33579,3,7,17,43,40,37,17
ZCTA33584,4,10,19,66,72,48,26
ZCTA33585,,,1,5,6,7,2
ZCTA33586,,,,1,,,
ZCTA33592,1,2,20,29,42,38,12
ZCTA33593,,,,,,1,1
ZCTA33594,3,2,25,54,98,89,40
ZCTA33595,,,1,,,1,
ZCTA33596,1,1,20,51,75,53,25
ZCTA33597,,,2,4,4,3,2
ZCTA33597,,,,,,,1
ZCTA33597,,1,3,29,23,32,8
ZCTA33598,3,3,7,30,47,47,14
ZCTA33598,,,,1,,,
ZCTA33601,,,,1,,,
ZCTA33602,1,2,12,24,32,19,7
ZCTA33603,2,4,12,34,29,26,21
ZCTA33604,3,10,26,88,118,63,50
ZCTA33605,2,6,12,65,69,37,24
ZCTA33606,,4,6,15,28,34,24
ZCTA33607,2,11,12,44,53,60,60
ZCTA33608,,,,,1,,
ZCTA33609,,4,10,18,44,23,35
ZCTA33610,2,13,41,101,125,98,53
ZCTA33611,3,2,17,68,89,83,52
ZCTA33612,2,8,39,114,114,101,72
ZCTA33613,2,8,16,52,56,59,60
ZCTA33614,2,9,32,71,95,96,70
ZCTA33615,1,5,37,88,129,95,56
ZCTA33616,,2,8,27,28,32,12
ZCTA33617,8,10,31,77,92,86,48
ZCTA33618,3,3,14,36,90,76,48
ZCTA33619,3,13,26,72,94,71,36
ZCTA33620,,,,1,,,
ZCTA33621,,1,,2,,,
ZCTA33624,1,10,21,67,103,73,52
ZCTA33625,1,5,18,29,56,52,36
ZCTA33626,2,3,16,26,42,53,36
ZCTA33629,1,3,12,40,49,55,62
ZCTA33634,,2,17,31,45,40,24
ZCTA33635,2,4,13,22,46,40,22
ZCTA33637,2,5,8,36,37,31,8
ZCTA33647,4,6,29,68,73,62,40
ZCTA33677,,,,1,,,
ZCTA33701,,3,11,46,73,47,35
ZCTA33702,5,8,28,84,101,87,62
ZCTA33703,4,2,19,53,66,62,43
ZCTA33704,,3,8,37,40,37,30
ZCTA33705,1,9,30,78,116,80,42
ZCTA33706,3,,8,39,85,82,49
ZCTA33707,1,3,22,77,152,114,109
ZCTA33708,,2,10,52,66,87,62
ZCTA33709,3,4,21,110,141,122,67
ZCTA33710,2,9,20,75,131,88,79
ZCTA33711,1,4,16,53,72,58,27
ZCTA33712,3,7,22,86,93,68,39
ZCTA33713,3,7,32,89,90,56,38
ZCTA33714,2,4,24,82,88,57,27
ZCTA33715,1,,2,17,32,34,24
ZCTA33716,3,1,8,22,30,23,15
ZCTA33731,,,,,1,,
ZCTA33736,,,,,,,1
ZCTA33737,,,,,1,,
ZCTA33738,,,,1,,,
ZCTA33744,,,,3,3,,1
ZCTA33747,,,,,2,,
ZCTA33755,2,5,28,78,93,59,33
ZCTA33756,2,7,23,114,125,101,72
ZCTA33757,,,,,,,1
ZCTA33758,,,,1,2,,1
ZCTA33759,1,6,14,42,49,57,62
ZCTA33760,2,4,14,47,38,32,7
ZCTA33761,,,14,48,80,88,59
ZCTA33762,,2,3,10,15,21,16
ZCTA33763,1,6,14,38,76,104,76
ZCTA33764,,1,17,63,94,80,63
ZCTA33765,1,3,7,43,45,32,15
ZCTA33766,,,,1,,,
ZCTA33767,1,1,3,19,38,43,38
ZCTA33770,1,5,26,66,84,104,82
ZCTA33771,,5,25,101,158,159,118
ZCTA33772,2,5,21,58,84,81,87
ZCTA33773,,3,9,47,72,46,40
ZCTA33774,,6,13,36,68,75,48
ZCTA33776,,3,6,26,30,44,36
ZCTA33777,1,,13,38,60,64,30
ZCTA33778,1,1,4,52,70,69,34
ZCTA33779,,,,1,,,
ZCTA33780,,,,,1,1,
ZCTA33781,2,8,29,71,107,63,37
ZCTA33782,1,7,18,61,104,119,44
ZCTA33785,,,3,11,18,16,11
ZCTA33786,,,4,5,8,8,6
ZCTA33801,,8,22,89,118,87,55
ZCTA33803,2,5,17,51,98,90,79
ZCTA33805,1,14,14,73,80,74,40
ZCTA33807,,,,1,,1,
ZCTA33809,3,3,32,54,102,95,68
ZCTA33810,,,,,,,1
ZCTA33810,2,13,31,103,159,174,88
ZCTA33811,6,5,13,49,60,52,27
ZCTA33812,,2,11,28,28,30,12
ZCTA33813,4,3,19,60,95,86,51
ZCTA33815,2,3,21,53,65,42,11
ZCTA33820,,,,,,2,
ZCTA33823,4,3,29,83,99,94,46
ZCTA33825,,6,11,54,91,97,65
ZCTA33825,,,,,,1,
ZCTA33827,,,5,5,14,8,8
ZCTA33830,6,7,29,66,93,63,46
ZCTA33831,,,,,,,1
ZCTA33834,1,,2,2,20,9,3
ZCTA33834,,,,1,,2,
ZCTA33835,,1,,2,,3,2
ZCTA33836,,,,2,2,1,1
ZCTA33837,2,8,20,54,87,71,20
ZCTA33838,,,3,5,15,12,8
ZCTA33839,,,,7,8,2,7
ZCTA33840,,,,,,1,
ZCTA33841,,1,6,16,29,32,13
ZCTA33843,,,13,18,37,41,21
ZCTA33844,4,3,26,68,123,118,67
ZCTA33845,,,1,,,,
ZCTA33846,,,,2,4,,1
ZCTA33847,,,,,1,,1
ZCTA33848,,,,4,1,3,1
ZCTA33849,,,2,2,,3,
ZCTA33850,,1,5,29,23,26,12
ZCTA33851,,,2,2,5,3,4
ZCTA33852,,1,14,45,120,135,90
ZCTA33853,1,4,7,33,35,44,23
ZCTA33854,,,1,3,3,3,2
ZCTA33855,,,2,2,7,5,3
ZCTA33856,,,,1,5,2,
ZCTA33857,,,2,4,3,10,2
ZCTA33858,,,,,2,,1
ZCTA33859,,3,10,21,53,59,22
ZCTA33860,,,,1,,,
ZCTA33860,1,4,17,53,82,57,23
ZCTA33863,,,,,,1,
ZCTA33865,,,,1,3,3,1
ZCTA33867,,,,1,,1,1
ZCTA33868,1,,8,27,51,45,12
ZCTA33870,4,6,19,70,102,112,79
ZCTA33871,1,,,,,,
ZCTA33872,1,,8,34,70,82,78
ZCTA33873,1,5,8,26,28,36,17
ZCTA33875,,1,7,25,46,55,32
ZCTA33876,,,3,13,32,30,19
ZCTA33877,,1,,3,2,2,3
ZCTA33880,4,8,37,82,130,101,54
ZCTA33881,2,7,25,66,149,131,84
ZCTA33884,3,10,19,62,99,127,76
ZCTA33888,,,,,1,,
ZCTA33890,1,1,1,11,12,17,12
ZCTA33896,1,,2,2,3,7,2
ZCTA33896,1,1,7,10,20,15,5
ZCTA33897,,1,14,34,49,49,21
ZCTA33898,,2,16,49,76,72,20
ZCTA33901,,7,14,41,64,61,67
ZCTA33902,,,,,1,2,
ZCTA33903,1,7,18,61,154,151,107
ZCTA33904,1,3,21,85,139,148,82
ZCTA33905,3,4,23,71,102,79,30
ZCTA33906,,,,1,,,
ZCTA33907,1,4,12,43,68,66,69
ZCTA33908,1,2,20,71,138,237,228
ZCTA33909,1,7,16,41,98,77,19
ZCTA33911,,,1,,,,
ZCTA33912,,,3,38,71,95,56
ZCTA33913,3,1,10,41,92,66,31
ZCTA33914,2,2,31,85,180,137,90
ZCTA33916,4,6,16,49,42,27,23
ZCTA33917,4,8,23,112,173,198,83
ZCTA33918,,,,,1,1,
ZCTA33919,2,2,14,59,104,137,127
ZCTA33920,,,8,19,25,20,6
ZCTA33921,,,1,,5,8,10
ZCTA33922,1,1,,12,28,17,13
ZCTA33924,,,,,3,2,
ZCTA33928,,,8,32,107,125,68
ZCTA33930,,1,2,2,4,2,
ZCTA33931,,1,6,25,59,61,42
ZCTA33932,,,,,1,,
ZCTA33935,,1,1,6,4,11,2
ZCTA33935,2,4,3,23,45,38,34
ZCTA33935,,,,1,2,,
ZCTA33936,1,5,18,59,105,91,59
ZCTA33944,,,,2,,1,1
ZCTA33946,,,,5,13,10,9
ZCTA33947,,1,4,17,70,59,38
ZCTA33948,,2,9,54,94,83,56
ZCTA33950,1,1,11,48,129,159,101
ZCTA33951,,,,,1,,1
ZCTA33952,,5,41,112,154,152,128
ZCTA33953,,1,4,15,38,34,13
ZCTA33954,2,2,5,22,54,51,32
ZCTA33955,,2,6,27,44,51,21
ZCTA33955,,,,1,12,10,3
ZCTA33956,,1,,11,24,29,13
ZCTA33957,,,4,7,23,44,24
ZCTA33960,,,,,,1,
ZCTA33960,,,3,2,5,2,3
ZCTA33966,,,10,24,38,15,15
ZCTA33967,2,7,15,38,57,49,23
ZCTA33970,,,,,,1,
ZCTA33971,,7,15,37,38,30,16
ZCTA33972,1,2,7,28,40,29,10
ZCTA33973,1,6,3,14,15,13,7
ZCTA33974,2,1,9,20,32,20,8
ZCTA33976,,3,13,11,17,20,4
ZCTA33980,,1,7,16,59,84,62
ZCTA33981,,3,7,42,59,46,23
ZCTA33982,,,5,24,50,48,19
ZCTA33983,,4,9,35,78,75,53
ZCTA33990,1,1,30,74,109,94,72
ZCTA33991,2,6,10,36,73,69,52
ZCTA33993,1,4,24,30,78,57,23
ZCTA34101,,,,,1,1,
ZCTA34102,,,6,15,30,60,37
ZCTA34103,,1,4,14,57,71,73
ZCTA34104,1,1,13,34,75,129,71
ZCTA34105,1,2,9,22,52,78,68
ZCTA34106,,,,,,1,
ZCTA34108,1,1,6,19,58,100,71
ZCTA34109,1,2,9,29,65,110,126
ZCTA34110,1,1,11,28,98,156,128
ZCTA34110,,,,1,,2,
ZCTA34112,,2,13,54,107,122,84
ZCTA34113,2,4,6,41,68,80,82
ZCTA34114,1,1,9,25,67,83,35
ZCTA34116,1,5,12,34,47,41,18
ZCTA34117,,2,16,37,35,37,12
ZCTA34119,1,5,12,40,88,120,67
ZCTA34119,,,1,,,1,
ZCTA34120,,2,21,50,71,62,28
ZCTA34134,,,,1,5,7,5
ZCTA34134,,1,10,28,71,96,63
ZCTA34135,,,,1,1,,
ZCTA34135,,6,15,66,161,190,108
ZCTA34137,,,,1,4,1,
ZCTA34138,,,1,3,5,1,
ZCTA34139,,,,3,2,4,
ZCTA34140,,,,1,,1,1
ZCTA34141,,,,4,2,,
ZCTA34142,2,4,9,28,39,38,13
ZCTA34142,,,,1,,,
ZCTA34145,,1,7,24,61,106,67
ZCTA34146,,,,1,,,
ZCTA34201,,,,4,13,17,14
ZCTA34202,1,1,11,26,66,63,53
ZCTA34202,,,,,1,,
ZCTA34203,1,6,18,74,133,128,87
ZCTA34205,2,5,25,100,114,98,117
ZCTA34207,,12,27,75,151,111,70
ZCTA34208,,5,28,70,102,80,49
ZCTA34209,2,5,15,70,121,149,156
ZCTA34210,,2,14,33,62,71,44
ZCTA34211,,,7,8,30,27,21
ZCTA34212,,1,12,32,68,45,26
ZCTA34215,,,1,4,3,4,3
ZCTA34216,,,1,5,5,6,10
ZCTA34217,,,2,5,31,25,12
ZCTA34218,,,,,1,,
ZCTA34219,,8,13,37,69,64,34
ZCTA34220,,,,,,1,
ZCTA34221,2,7,23,86,162,165,71
ZCTA34222,1,4,11,27,80,72,38
ZCTA34223,,,2,4,15,14,14
ZCTA34223,1,3,8,38,82,108,73
ZCTA34224,2,1,10,36,96,88,64
ZCTA34224,,,,4,4,5,2
ZCTA34228,1,,,5,12,19,18
ZCTA34228,,,,1,14,47,40
ZCTA34229,,,4,12,32,42,33
ZCTA34230,,,,,,,1
ZCTA34231,2,6,18,69,122,163,130
ZCTA34232,2,6,27,60,127,115,100
ZCTA34233,1,3,11,38,72,99,96
ZCTA34234,4,4,14,82,90,59,41
ZCTA34235,1,1,10,32,63,74,62
ZCTA34236,,1,5,22,59,87,108
ZCTA34237,1,6,9,50,47,36,27
ZCTA34238,1,,4,35,87,140,110
ZCTA34239,,4,14,38,66,52,46
ZCTA34240,1,,9,20,39,46,28
ZCTA34241,1,1,10,20,47,67,35
ZCTA34242,1,1,4,9,43,53,35
ZCTA34243,1,2,7,48,79,90,56
ZCTA34243,1,,3,29,38,23,27
ZCTA34250,,,1,,2,1,1
ZCTA34251,1,1,10,19,22,8,14
ZCTA34251,,,,1,2,1,1
ZCTA34265,,,,1,1,1,
ZCTA34266,,3,30,67,91,92,55
ZCTA34267,,,,,1,,1
ZCTA34268,,,,1,,2,1
ZCTA34269,,,3,8,29,37,16
ZCTA34270,,,,,1,,
ZCTA34272,,,,1,,,1
ZCTA34274,,,,,1,,
ZCTA34275,,1,15,63,93,105,68
ZCTA34277,,,,,1,,
ZCTA34280,,,,,1,,
ZCTA34281,,,,,1,1,1
ZCTA34282,,,,,,1,
ZCTA34285,,,9,41,97,158,124
ZCTA34286,1,2,10,31,68,61,31
ZCTA34287,,,,1,,,
ZCTA34287,2,5,18,61,121,152,121
ZCTA34288,3,3,10,20,46,30,13
ZCTA34289,,,1,3,10,12,4
ZCTA34291,1,2,3,17,19,19,8
ZCTA34292,,2,4,23,70,116,117
ZCTA34293,3,2,15,84,202,217,166
ZCTA34295,,,,,1,,1
ZCTA34420,1,2,27,59,82,71,39
ZCTA34421,,,,1,,,
ZCTA34423,,,,1,,1,
ZCTA34428,1,,7,33,46,44,23
ZCTA34429,,,10,31,49,59,33
ZCTA34430,,,,,2,,1
ZCTA34431,,,,1,2,8,
ZCTA34431,,,8,20,33,50,26
ZCTA34432,,1,12,40,82,85,31
ZCTA34433,,4,7,22,42,30,11
ZCTA34433,,,2,4,1,1,
ZCTA34434,,4,10,29,40,41,27
ZCTA34434,,,,1,2,,
ZCTA34436,,3,7,29,44,36,15
ZCTA34442,1,2,16,55,103,98,47
ZCTA34445,,,,3,,1,1
ZCTA34446,1,3,16,52,135,135,64
ZCTA34447,,,,,,1,
ZCTA34448,,4,11,40,61,60,27
ZCTA34449,,,,1,1,3,1
ZCTA34449,,,2,16,21,13,5
ZCTA34450,,2,15,33,64,66,43
ZCTA34452,,3,17,34,60,53,50
ZCTA34453,,,9,29,54,62,24
ZCTA34460,,1,,,,,
ZCTA34461,,1,7,33,67,58,35
ZCTA34465,,4,19,49,98,115,63
ZCTA34470,1,3,20,55,100,83,31
ZCTA34471,1,2,17,52,84,91,71
ZCTA34472,4,5,23,66,107,83,57
ZCTA34473,3,1,11,23,67,47,17
ZCTA34474,,1,3,39,47,54,39
ZCTA34475,4,3,9,27,33,34,14
ZCTA34476,,4,14,43,115,161,80
ZCTA34477,1,,,1,,1,
ZCTA34478,,,,1,,,1
ZCTA34479,1,3,12,29,44,41,22
ZCTA34480,,7,14,47,69,47,30
ZCTA34481,,,11,55,141,208,128
ZCTA34482,,3,15,63,70,77,48
ZCTA34484,,1,8,6,12,11,26
ZCTA34488,2,2,9,40,69,68,17
ZCTA34489,,,1,,,,
ZCTA34491,1,6,20,72,178,216,86
ZCTA34492,,,,1,,,
ZCTA34498,,,,1,5,6,3
ZCTA34601,4,4,22,79,115,97,74
ZCTA34602,1,2,5,19,31,24,20
ZCTA34603,,,,1,,,
ZCTA34604,,2,14,26,33,27,14
ZCTA34605,,,,,1,,
ZCTA34606,1,3,24,72,120,174,123
ZCTA34607,,,5,15,47,52,25
ZCTA34608,1,7,20,89,137,144,86
ZCTA34609,3,8,28,89,182,180,105
ZCTA34610,1,5,19,37,57,41,18
ZCTA34611,,,,,1,,
ZCTA34613,,6,18,68,143,141,84
ZCTA34614,1,,5,18,36,21,12
ZCTA34636,,,,,1,1,
ZCTA34637,,,2,7,26,19,1
ZCTA34638,2,6,18,33,52,35,20
ZCTA34639,1,4,13,38,68,57,25
ZCTA34652,2,9,23,80,115,128,56
ZCTA34653,1,8,32,90,158,129,85
ZCTA34654,2,8,21,70,113,78,53
ZCTA34655,4,,30,80,142,202,123
ZCTA34660,,,,,,1,1
ZCTA34661,,,,1,,,
ZCTA34667,1,12,37,115,209,236,137
ZCTA34668,,11,50,153,199,182,128
ZCTA34669,1,5,20,41,75,62,21
ZCTA34673,,,,,1,,
ZCTA34674,,,1,,,,
ZCTA34677,,4,10,27,61,61,41
ZCTA34679,,,,3,4,3,
ZCTA34680,,,,1,,1,
ZCTA34681,,,,2,11,3,1
ZCTA34683,,5,21,72,92,84,55
ZCTA34684,,5,16,47,102,134,158
ZCTA34685,1,2,8,19,49,45,36
ZCTA34688,,1,,,1,,1
ZCTA34688,,,3,12,24,30,18
ZCTA34689,4,3,18,78,113,115,88
ZCTA34690,1,1,13,41,46,49,54
ZCTA34691,1,4,20,61,92,58,44
ZCTA34695,1,2,22,38,80,56,35
ZCTA34697,,,,1,,,1
ZCTA34698,,5,35,84,157,189,113
ZCTA34705,,,4,9,7,10,
ZCTA34711,3,9,34,113,183,186,109
ZCTA34711,,,,,,1,
ZCTA34712,,,,,,1,
ZCTA34714,1,3,12,23,28,21,5
ZCTA34715,,2,11,30,50,37,17
ZCTA34729,,,,1,1,1,
ZCTA34731,,3,13,35,57,55,26
ZCTA34731,,,,,,1,
ZCTA34734,,1,3,7,7,9,2
ZCTA34736,1,3,15,36,53,53,21
ZCTA34737,,,,5,15,10,2
ZCTA34739,,,1,5,10,4,2
ZCTA34741,8,12,36,88,101,61,33
ZCTA34743,1,10,22,50,83,80,42
ZCTA34744,1,11,21,93,112,89,49
ZCTA34746,2,12,27,73,80,97,54
ZCTA34747,,,,1,,,
ZCTA34747,2,5,14,19,39,37,14
ZCTA34748,1,3,26,84,231,319,157
ZCTA34749,,,,,,1,2
ZCTA34753,1,1,6,12,8,11,2
ZCTA34756,,,5,5,11,10,4
ZCTA34758,,6,15,55,66,59,36
ZCTA34759,1,,11,13,30,21,9
ZCTA34759,2,2,9,31,83,75,21
ZCTA34760,1,,,1,3,3,1
ZCTA34761,1,11,25,73,67,70,40
ZCTA34762,1,,,2,2,2,1
ZCTA34769,3,5,26,61,94,58,52
ZCTA34770,,,,,,1,
ZCTA34771,,3,13,46,34,48,26
ZCTA34772,3,7,26,55,78,64,25
ZCTA34773,,,2,9,11,12,1
ZCTA34785,2,3,11,34,59,60,47
ZCTA34786,1,7,21,40,53,48,25
ZCTA34787,,,,1,1,2,2
ZCTA34787,1,9,25,88,117,99,69
ZCTA34788,1,2,12,60,93,136,78
ZCTA34797,,,1,4,6,6,3
ZCTA34945,,1,3,10,11,16,9
ZCTA34946,,2,6,21,33,18,7
ZCTA34947,1,2,10,29,29,23,10
ZCTA34949,,,4,15,29,43,38
ZCTA34950,2,7,19,47,53,40,29
ZCTA34951,,2,10,41,76,89,84
ZCTA34952,,9,24,108,219,232,163
ZCTA34953,4,15,30,120,186,144,69
ZCTA34954,,,,,,1,
ZCTA34956,,,3,8,17,14,9
ZCTA34957,1,3,11,52,70,101,78
ZCTA34957,,,1,6,26,22,16
ZCTA34958,,,,1,,,
ZCTA34972,3,4,20,46,67,45,17
ZCTA34972,,,,,1,2,
ZCTA34973,,,,,,1,
ZCTA34974,1,,2,8,14,11,7
ZCTA34974,,,2,1,,2,2
ZCTA34974,,,,2,1,,
ZCTA34974,,6,25,61,93,90,55
ZCTA34979,,,,1,2,,
ZCTA34981,1,1,5,11,16,15,10
ZCTA34982,2,1,27,72,97,114,51
ZCTA34983,2,11,24,81,141,119,59
ZCTA34984,1,1,15,41,36,66,32
ZCTA34985,,,,,2,1,
ZCTA34986,2,3,17,32,123,142,77
ZCTA34987,,2,4,15,52,43,24
ZCTA34990,1,1,21,39,87,122,107
ZCTA34990,,,,,6,8,7
ZCTA34991,,,,,,,1
ZCTA34992,1,,,,1,1,
ZCTA34994,1,3,12,36,61,70,69
ZCTA34995,,,,,,,2
ZCTA34996,2,1,6,17,42,59,60
ZCTA34997,3,3,23,106,159,158,137
