ZCTA,cancer_25to34,cancer_35to44,cancer_45to54,cancer_55to64,cancer_65to74,cancer_75to84,cancer_85up
ZCTA32244,9,16,36,121,164,107,43
ZCTA32245,,,,,,1,
ZCTA32246,4,5,33,90,115,84,38
ZCTA32250,1,3,19,59,89,73,57
ZCTA32254,2,3,22,41,53,36,18
ZCTA32255,,,,,,,2
ZCTA32256,1,2,19,55,105,98,81
ZCTA32256,,,,,,,1
ZCTA32257,1,11,26,91,98,64,59
ZCTA32258,1,2,22,40,79,58,30
ZCTA32259,,1,1,1,5,4,3
ZCTA32259,1,5,25,49,83,76,49
ZCTA32266,,1,3,10,18,9,6
ZCTA32277,1,8,18,43,73,57,46
ZCTA32301,1,5,13,46,54,28,26
ZCTA32302,1,,1,1,1,,
ZCTA32303,2,8,19,56,87,52,40
ZCTA32304,,1,13,43,47,25,20
ZCTA32305,1,4,23,57,56,56,17
ZCTA32306,,,,,1,,
ZCTA32308,2,2,9,40,51,60,62
ZCTA32309,1,3,13,59,84,84,61
ZCTA32310,1,6,7,46,48,30,8
ZCTA32311,,4,8,25,45,33,24
ZCTA32312,,3,12,38,90,62,58
ZCTA32313,,,,,1,,
ZCTA32317,,3,11,17,30,34,11
ZCTA32320,,,5,10,15,11,5
ZCTA32321,,1,2,13,19,15,2
ZCTA32322,,,1,20,13,12,8
ZCTA32323,,,,,1,5,2
ZCTA32324,1,3,5,8,19,17,5
ZCTA32326,,,,,1,,
ZCTA32327,,,,,1,,
ZCTA32327,3,5,17,56,77,74,25
ZCTA32328,,2,5,11,18,14,5
ZCTA32329,,,,,1,1,
ZCTA32330,,,,2,2,3,1
ZCTA32331,,,,2,1,,
ZCTA32331,,,1,14,15,10,6
ZCTA32331,,,,,3,1,
ZCTA32332,,3,1,3,4,2,
ZCTA32333,,,11,52,41,41,19
ZCTA32333,,,,2,,,
ZCTA32334,,1,1,6,3,4,3
ZCTA32336,,,,5,5,6,2
ZCTA32337,,,,,,1,1
ZCTA32340,2,,3,28,28,33,11
ZCTA32341,,,,,1,,
ZCTA32343,,1,2,9,2,4,1
ZCTA32344,1,4,12,36,45,36,19
ZCTA32344,,,,,1,,
ZCTA32345,,,,1,,,
ZCTA32346,,,,,,,1
ZCTA32346,,1,,6,3,6,1
ZCTA32347,,1,5,27,31,38,12
ZCTA32348,,4,11,25,42,31,7
ZCTA32350,,,2,5,5,5,3
ZCTA32351,2,5,16,44,53,42,21
ZCTA32352,,,4,15,18,18,6
ZCTA32355,,,,1,3,3,
ZCTA32356,,,,,,2,
ZCTA32358,,,,5,7,9,4
ZCTA32359,,,1,2,4,2,
ZCTA32359,,,1,6,9,3,5
ZCTA32360,,,,,1,1,1
ZCTA32361,,,,,1,1,1
ZCTA32362,,,,,1,,
ZCTA32401,2,4,17,64,67,47,43
ZCTA32403,,,1,1,,,
ZCTA32404,,5,34,85,107,87,41
ZCTA32405,1,9,21,60,84,87,44
ZCTA32407,1,2,4,25,29,16,24
ZCTA32408,1,3,14,27,59,35,21
ZCTA32409,,1,6,24,35,25,8
ZCTA32410,,,,1,1,1,2
ZCTA32411,,,,,3,,1
ZCTA32413,,2,14,30,43,41,23
ZCTA32413,,,,1,,2,
ZCTA32420,,,3,4,10,10,7
ZCTA32420,,,,,,1,
ZCTA32421,,1,5,14,15,16,6
ZCTA32422,,,,,,1,
ZCTA32423,,,2,6,6,8,1
ZCTA32424,1,1,7,22,26,21,13
ZCTA32425,1,4,8,35,51,53,17
ZCTA32425,,,3,4,5,4,1
ZCTA32426,1,,3,5,3,7,4
ZCTA32427,,,1,8,5,3,2
ZCTA32428,1,1,12,49,82,51,29
ZCTA32430,,,2,6,8,2,1
ZCTA32431,,3,6,14,19,10,10
ZCTA32431,,1,,1,,6,
ZCTA32432,,,1,,1,,
ZCTA32433,2,3,16,50,61,46,15
ZCTA32434,,,,,,1,
ZCTA32435,,1,4,16,26,29,12
ZCTA32437,,,,,1,,
ZCTA32437,,,2,2,2,2,
ZCTA32438,,,4,20,18,14,2
ZCTA32439,,3,9,31,32,25,7
ZCTA32440,,,2,5,1,2,1
ZCTA32440,,1,3,13,26,25,5
ZCTA32442,,,4,11,21,16,9
ZCTA32443,,1,3,5,16,11,5
ZCTA32444,,3,10,43,48,39,27
ZCTA32445,,,1,3,5,6,4
ZCTA32446,,,5,25,54,43,25
ZCTA32448,1,,5,22,38,22,11
ZCTA32449,,,1,1,3,2,1
ZCTA32455,,1,5,3,11,6,3
ZCTA32455,1,,1,9,11,7,6
ZCTA32456,,3,2,26,35,27,11
ZCTA32459,3,3,13,42,50,31,21
ZCTA32460,,,4,9,20,22,6
ZCTA32461,,,,,4,1,2
ZCTA32462,,,3,8,16,10,3
ZCTA32463,,,1,1,,1,
ZCTA32464,,1,1,7,20,18,7
ZCTA32464,,,1,,4,4,2
ZCTA32465,1,3,4,14,29,20,13
ZCTA32466,1,,5,22,11,20,4
ZCTA32466,,,,,,1,
ZCTA32501,1,2,6,39,36,38,25
ZCTA32502,,1,4,17,10,9,10
ZCTA32503,,4,24,75,111,80,61
ZCTA32504,2,4,7,61,58,73,44
ZCTA32505,3,6,30,92,104,67,34
ZCTA32506,2,11,27,89,127,81,58
ZCTA32507,2,2,28,95,110,70,42
ZCTA32513,,,,,1,,
ZCTA32514,2,4,30,99,121,132,76
ZCTA32523,,,,,1,,
ZCTA32524,,,1,1,1,1,1
ZCTA32526,3,8,32,105,141,134,56
ZCTA32530,,,,1,1,2,1
ZCTA32531,,2,3,25,21,20,8
ZCTA32533,3,5,21,70,94,73,43
ZCTA32534,2,1,14,44,71,61,15
ZCTA32535,,3,6,15,16,13,7
ZCTA32536,,2,11,51,63,58,29
ZCTA32538,,,,,2,,2
ZCTA32539,2,7,21,56,94,57,21
ZCTA32539,,,,1,2,1,1
ZCTA32540,,,,,,2,
ZCTA32541,1,2,8,29,67,42,18
ZCTA32541,,,,1,,1,1
ZCTA32547,,7,27,96,82,107,70
ZCTA32548,2,1,21,54,72,69,28
ZCTA32550,,,,1,,1,1
ZCTA32550,,2,9,14,34,35,20
ZCTA32561,,,,5,7,7,5
ZCTA32561,,,4,9,22,20,17
ZCTA32563,1,4,15,42,73,63,36
ZCTA32564,,1,2,12,13,12,1
ZCTA32564,,,,1,1,1,1
ZCTA32565,,3,6,12,24,17,6
ZCTA32566,1,7,18,78,97,77,35
ZCTA32567,1,1,4,10,5,10,1
ZCTA32567,,,1,3,7,5,2
ZCTA32568,,,8,8,11,12,4
ZCTA32569,,1,7,15,25,31,11
ZCTA32570,1,5,25,70,114,90,37
ZCTA32571,2,4,15,78,85,77,35
ZCTA32572,,,,,1,1,
ZCTA32577,,,4,12,24,11,7
ZCTA32578,1,6,16,57,74,100,55
ZCTA32578,,,,1,1,3,1
ZCTA32579,,,3,19,26,33,24
ZCTA32580,,3,3,9,11,11,9
ZCTA32583,2,1,19,72,92,65,27
ZCTA32588,,,,,,1,
ZCTA32601,,1,7,29,31,22,12
ZCTA32603,,,,4,2,3,2
ZCTA32604,,,,,,1,
ZCTA32605,2,2,15,44,74,44,53
ZCTA32606,4,2,10,39,46,67,64
ZCTA32607,1,4,10,29,43,41,20
ZCTA32608,1,5,18,46,86,68,59
ZCTA32609,,2,15,63,69,35,27
ZCTA32615,,1,9,26,48,33,26
ZCTA32616,,,,1,3,2,1
ZCTA32617,,,3,18,17,20,4
ZCTA32618,1,2,3,13,36,18,6
ZCTA32618,,,5,5,16,5,4
ZCTA32619,,2,2,14,20,21,15
ZCTA32621,1,,2,13,35,12,11
ZCTA32622,,,,,1,1,2
ZCTA32622,1,,2,2,5,4,1
ZCTA32625,,,3,10,10,4,3
ZCTA32626,1,3,10,22,46,41,16
ZCTA32627,,,,,,1,
ZCTA32628,,,2,11,11,18,7
ZCTA32631,,,,1,5,3,1
ZCTA32635,,,,,1,,
ZCTA32639,,,,,2,1,
ZCTA32640,2,,6,22,32,24,9
ZCTA32640,,,5,20,26,24,17
ZCTA32641,,5,22,32,57,40,12
ZCTA32643,,2,12,21,36,29,20
ZCTA32643,,,,6,4,,
ZCTA32643,,1,1,6,6,8,3
ZCTA32644,1,,,2,1,1,2
ZCTA32648,,,,3,1,,1
ZCTA32653,,1,8,23,44,37,26
ZCTA32654,,,,,1,1,
ZCTA32655,,,,,2,1,
ZCTA32656,,,,2,5,10,4
ZCTA32656,1,2,24,46,64,44,30
ZCTA32658,,,1,1,2,3,2
ZCTA32664,,1,,1,6,1,
ZCTA32666,,,,5,3,2,1
ZCTA32666,,,2,4,4,5,2
ZCTA32666,,,1,2,1,3,2
ZCTA32666,,,1,3,13,14,7
ZCTA32667,,,1,8,12,8,5
ZCTA32667,,,,4,4,3,2
ZCTA32668,,1,1,15,27,16,7
ZCTA32668,,,,3,5,4,2
ZCTA32669,,3,4,25,45,35,22
ZCTA32669,,,1,,4,2,1
ZCTA32680,,2,13,44,61,46,21
ZCTA32681,,,,1,1,1,
ZCTA32683,,,,,1,,
ZCTA32686,,,3,13,17,9,8
ZCTA32692,,,,,,2,2
ZCTA32693,,1,9,26,34,31,15
ZCTA32693,,3,3,13,15,15,9
ZCTA32694,,,2,7,6,10,3
ZCTA32696,1,6,14,37,36,41,32
ZCTA32696,,,3,2,5,2,
ZCTA32697,,,,,1,,
ZCTA32701,4,6,9,33,72,77,66
ZCTA32702,,1,4,16,20,25,20
ZCTA32702,,,,3,1,3,
ZCTA32703,2,9,35,73,103,72,54
ZCTA32703,,2,5,14,12,17,15
ZCTA32704,,,,1,,,
ZCTA32706,,,,1,1,1,
ZCTA32707,1,3,23,83,121,122,44
ZCTA32708,7,8,26,72,111,94,79
ZCTA32709,,1,3,8,10,9,4
ZCTA32710,,,,1,,,
ZCTA32712,4,10,24,89,110,89,59
ZCTA32713,,4,15,55,87,85,47
ZCTA32714,,,,,1,,1
ZCTA32714,1,6,25,52,83,78,58
ZCTA32719,,,,,,1,
ZCTA32720,,,1,7,10,10,3
ZCTA32720,5,4,24,86,122,108,82
ZCTA32721,,,,,1,,1
ZCTA32722,,,,1,,2,
ZCTA32724,4,3,24,71,140,155,103
ZCTA32725,1,8,49,91,132,160,106
ZCTA32726,1,3,18,54,76,92,56
ZCTA32727,,,,1,,,
ZCTA32728,,,,,3,4,1
ZCTA32730,,,2,11,17,24,14
ZCTA32732,,2,7,14,19,20,12
ZCTA32733,,,,,1,,
ZCTA32735,,,4,15,28,31,8
ZCTA32736,1,2,18,35,40,31,21
ZCTA32738,1,12,31,110,111,102,42
ZCTA32744,,1,1,12,22,14,8
ZCTA32746,4,9,25,62,82,80,73
ZCTA32747,,,,,1,4,2
ZCTA32750,1,4,17,60,69,75,63
ZCTA32751,,4,7,31,49,47,35
ZCTA32751,,3,2,8,13,21,15
ZCTA32752,,,,1,,,
ZCTA32754,1,4,12,47,60,40,29
ZCTA32754,,,,1,1,2,
ZCTA32756,,,1,,,1,
ZCTA32757,1,6,19,60,95,90,79
ZCTA32757,,1,1,3,15,7,4
ZCTA32759,,,4,16,21,11,7
ZCTA32762,,,,,,1,
ZCTA32763,1,3,18,68,89,80,82
ZCTA32764,,1,3,16,10,17,8
ZCTA32765,4,9,32,68,142,110,114
ZCTA32766,,,8,14,25,20,16
ZCTA32767,2,1,3,16,14,13,4
ZCTA32768,,,,,1,,1
ZCTA32771,3,13,22,84,148,120,78
ZCTA32772,,,,2,2,,
ZCTA32773,2,6,20,67,92,52,34
ZCTA32774,,,,,1,,
ZCTA32776,,1,9,29,41,33,13
ZCTA32777,,,,,3,1,
ZCTA32778,1,1,9,48,96,124,89
ZCTA32779,5,5,12,49,86,68,56
ZCTA32780,2,3,20,96,123,150,105
ZCTA32784,,2,12,40,45,26,22
ZCTA32784,,,3,9,9,11,4
ZCTA32789,,3,15,45,76,57,53
ZCTA32792,1,4,17,49,76,96,97
ZCTA32792,2,4,12,22,43,47,25
ZCTA32796,1,3,11,45,83,94,46
ZCTA32796,,,,1,,,
ZCTA32798,,1,1,11,25,26,21
ZCTA32799,,,,1,,,
ZCTA32801,,2,5,17,22,51,49
ZCTA32802,,,,,2,,
ZCTA32803,3,3,10,24,44,45,32
ZCTA32804,2,,11,41,36,32,35
ZCTA32805,5,7,23,65,98,62,41
ZCTA32806,1,10,12,63,84,73,53
ZCTA32807,1,5,19,57,63,55,45
ZCTA32808,4,10,44,102,127,78,40
ZCTA32809,1,9,19,46,55,54,35
ZCTA32810,3,9,30,77,91,75,31
ZCTA32811,8,7,30,64,71,62,21
ZCTA32812,2,6,18,53,86,60,45
ZCTA32814,,,,7,6,8,1
ZCTA32816,,,,,1,1,
ZCTA32817,2,3,20,42,58,58,38
ZCTA32818,3,12,33,60,98,84,34
ZCTA32819,2,5,14,41,53,64,42
ZCTA32820,,1,12,17,18,11,7
ZCTA32821,2,3,9,24,39,25,27
ZCTA32822,7,15,40,91,150,129,71
ZCTA32824,3,6,19,49,83,54,35
ZCTA32825,7,12,43,76,90,94,60
ZCTA32826,,2,13,37,45,39,36
ZCTA32827,,,5,12,22,17,17
ZCTA32828,6,14,25,63,73,70,36
ZCTA32829,,5,9,22,20,25,16
ZCTA32831,,,1,5,10,3,1
ZCTA32832,2,3,11,22,23,11,10
ZCTA32833,1,5,10,20,23,26,16
ZCTA32835,3,10,23,54,56,43,27
ZCTA32836,1,1,7,16,27,27,18
ZCTA32837,2,10,43,76,88,72,44
ZCTA32839,2,17,25,60,70,58,25
ZCTA32878,,,,,1,,
ZCTA32901,,2,14,55,108,128,98
ZCTA32903,,1,8,31,45,60,47
ZCTA32904,1,5,18,65,106,122,80
ZCTA32905,,5,32,69,110,105,71
ZCTA32907,4,3,56,101,174,151,69
ZCTA32908,,2,9,31,37,30,9
ZCTA32909,2,9,24,66,127,96,40
ZCTA32920,1,3,19,26,57,40,30
ZCTA32922,1,6,20,57,44,37,22
ZCTA32924,,,,1,,,
ZCTA32925,,,,,3,1,
ZCTA32926,2,6,22,64,95,91,41
ZCTA32927,5,2,28,79,85,91,37
ZCTA32931,,1,10,46,69,64,77
ZCTA32934,1,,16,52,79,71,43
ZCTA32935,3,6,31,108,161,154,89
ZCTA32936,,,,1,,,
ZCTA32937,2,4,11,59,90,118,82
ZCTA32940,2,3,23,46,134,188,156
ZCTA32941,,,,,,,1
ZCTA32948,1,,6,11,10,7,5
ZCTA32949,,1,8,4,5,11,8
ZCTA32950,,1,4,11,21,15,9
ZCTA32951,,,3,27,61,60,41
ZCTA32952,1,3,17,59,101,90,78
ZCTA32953,1,2,20,65,100,96,56
ZCTA32954,,,,1,,1,1
ZCTA32955,3,10,20,88,145,147,74
ZCTA32957,,1,,,,2,
ZCTA32958,,5,19,98,160,193,124
ZCTA32960,1,3,16,62,104,94,101
ZCTA32961,,,,,1,1,
ZCTA32962,4,1,27,61,92,114,83
ZCTA32963,,,5,19,47,110,95
ZCTA32964,,,,,1,,
ZCTA32966,1,2,17,50,81,110,144
ZCTA32967,1,7,26,50,90,73,57
ZCTA32968,,1,7,27,57,35,24
ZCTA32969,,,,,,,1
ZCTA32970,,,,1,1,1,
ZCTA32971,,,,,,1,
ZCTA32976,,,11,38,79,119,55
ZCTA32976,,,,2,3,2,
ZCTA33001,,,,,4,1,1
ZCTA33004,2,2,8,41,70,51,45
ZCTA33008,,,,1,2,1,
ZCTA33009,,12,22,59,116,146,106
ZCTA33009,,,,,1,,
ZCTA33010,1,10,34,78,120,163,93
