ZCTA,covid_25to34,covid_35to44,covid_45to54,covid_55to64,covid_65to74,covid_75to84,covid_85up
ZCTA32336,,,,1,,,2
ZCTA32340,,3,,,13,4,9
ZCTA32343,1,,1,,2,3,1
ZCTA32344,,,2,2,9,12,6
ZCTA32346,,,,,1,,
ZCTA32346,,,,,1,,
ZCTA32347,1,1,1,1,5,7,4
ZCTA32348,1,,2,4,9,9,5
ZCTA32350,,,,,1,1,1
ZCTA32351,1,3,6,8,6,12,10
ZCTA32352,,1,,2,6,2,5
ZCTA32358,,,,2,1,3,3
ZCTA32359,,,1,,,1,
ZCTA32359,,,,,1,2,
ZCTA32401,2,2,9,13,20,18,14
ZCTA32403,,,,1,,,
ZCTA32404,1,4,4,15,21,36,19
ZCTA32405,1,3,1,6,22,11,15
ZCTA32407,1,1,1,3,6,9,4
ZCTA32408,1,,2,6,10,12,13
ZCTA32409,2,3,2,6,5,6,1
ZCTA32411,,,,,,1,
ZCTA32413,,,2,3,5,7,6
ZCTA32420,,,,,,1,2
ZCTA32421,,,1,4,4,4,2
ZCTA32423,,,,1,1,1,
ZCTA32424,,2,1,4,4,6,4
ZCTA32425,1,1,3,6,6,9,7
ZCTA32425,,1,,1,,,
ZCTA32426,,,,1,,,1
ZCTA32427,,,,,3,1,
ZCTA32428,,,1,7,7,12,9
ZCTA32430,,,,1,,2,1
ZCTA32431,,1,,,2,4,
ZCTA32431,,,,,2,,
ZCTA32433,,2,1,7,13,5,5
ZCTA32435,,,3,1,4,4,5
ZCTA32437,,,,,,1,
ZCTA32438,,,3,,2,3,
ZCTA32439,,1,4,5,3,3,3
ZCTA32440,,,,,1,,
ZCTA32440,,,,8,10,9,3
ZCTA32442,,,,,2,1,
ZCTA32443,,,1,1,5,1,5
ZCTA32444,,,2,9,14,15,12
ZCTA32445,,,,1,1,,1
ZCTA32446,1,1,,5,8,16,21
ZCTA32448,,,2,4,2,12,6
ZCTA32449,,,,,,1,1
ZCTA32455,,,1,,,2,
ZCTA32455,,,,3,3,1,
ZCTA32456,,,,1,5,4,3
ZCTA32459,,,3,1,6,4,3
ZCTA32460,,,1,2,4,7,2
ZCTA32461,,,1,,1,,
ZCTA32462,,,2,2,1,3,
ZCTA32463,,,,,,1,
ZCTA32464,,,1,3,4,2,4
ZCTA32465,1,,,,,,
ZCTA32465,,,,4,11,11,
ZCTA32466,,1,4,2,4,3,2
ZCTA32501,,2,3,8,14,14,17
ZCTA32502,,,1,1,5,3,3
ZCTA32503,1,6,1,9,24,23,31
ZCTA32504,2,,3,4,6,13,24
ZCTA32505,4,8,8,10,19,14,10
ZCTA32506,2,4,6,16,17,26,7
ZCTA32507,,5,3,10,13,12,8
ZCTA32508,,1,,,,,
ZCTA32514,1,3,2,13,23,40,30
ZCTA32526,,1,8,8,23,28,15
ZCTA32530,,,,,,1,1
ZCTA32531,,,,2,3,8,3
ZCTA32533,,1,9,8,10,19,9
ZCTA32534,1,,2,5,14,10,8
ZCTA32535,,,,4,3,3,3
ZCTA32536,,2,4,9,14,10,6
ZCTA32539,1,4,2,13,13,14,12
ZCTA32539,,,,,,2,
ZCTA32541,,,1,4,4,8,8
ZCTA32547,2,4,2,4,10,18,23
ZCTA32548,1,1,5,11,12,18,11
ZCTA32550,,,1,,2,7,6
ZCTA32560,,,,,1,,
ZCTA32561,,,1,3,3,1,2
ZCTA32561,,1,,,3,7,6
ZCTA32563,,2,2,5,10,12,12
ZCTA32564,,,,1,1,1,3
ZCTA32564,,,1,,,,
ZCTA32565,,,2,2,4,12,10
ZCTA32566,,1,1,8,13,18,11
ZCTA32567,,1,,,2,2,
ZCTA32567,,,,,,2,1
ZCTA32568,1,,,2,2,4,1
ZCTA32569,,1,1,1,3,8,5
ZCTA32570,2,1,5,11,24,19,19
ZCTA32571,,2,4,5,18,19,11
ZCTA32577,,,,4,1,5,6
ZCTA32578,2,1,1,6,17,12,25
ZCTA32578,,,,1,1,,
ZCTA32579,,,1,1,5,8,5
ZCTA32580,,1,2,1,3,3,1
ZCTA32583,1,3,2,10,17,15,8
ZCTA32601,1,3,1,3,9,7,1
ZCTA32603,,,,,,1,
ZCTA32605,,,1,3,1,11,7
ZCTA32606,,,2,3,5,12,18
ZCTA32607,1,2,4,6,6,6,9
ZCTA32608,,,8,9,11,10,14
ZCTA32609,,2,5,12,6,5,7
ZCTA32614,,,,,1,,
ZCTA32615,,,4,3,4,5,6
ZCTA32616,,1,1,,,4,
ZCTA32617,,1,,1,,4,4
ZCTA32618,,,,3,1,,1
ZCTA32618,,,,1,2,,
ZCTA32619,,,1,,7,5,1
ZCTA32621,,,1,3,2,1,4
ZCTA32622,,,,1,1,,1
ZCTA32622,,,,1,,1,1
ZCTA32625,,,,,1,,
ZCTA32626,1,,1,2,5,10,2
ZCTA32628,1,2,1,10,5,3,1
ZCTA32640,,,,4,1,8,3
ZCTA32640,,,,1,9,5,4
