ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA33304,,1,9,26,36,47,76
ZCTA33305,,,6,18,29,39,90
ZCTA33306,,1,3,5,5,10,26
ZCTA33307,,,,,,1,
ZCTA33308,2,3,13,21,73,168,277
ZCTA33309,2,6,27,53,64,65,127
ZCTA33310,,,,,1,1,1
ZCTA33311,15,27,74,170,160,194,207
ZCTA33312,2,10,32,69,128,100,140
ZCTA33313,8,15,43,91,117,132,131
ZCTA33314,2,2,9,43,40,46,57
ZCTA33315,,1,6,23,25,19,38
ZCTA33316,,2,7,23,28,44,93
ZCTA33317,3,4,22,38,46,96,163
ZCTA33318,,,,,,,2
ZCTA33319,3,7,23,63,97,153,404
ZCTA33320,,,,,1,,
ZCTA33321,6,8,28,50,117,202,610
ZCTA33322,,4,14,45,108,160,409
ZCTA33323,,1,6,18,21,31,61
ZCTA33324,2,3,12,33,70,135,273
ZCTA33325,1,,11,24,36,35,65
ZCTA33326,,,4,16,24,49,81
ZCTA33327,,,4,7,11,17,32
ZCTA33328,1,1,7,20,27,43,103
ZCTA33329,,,,,1,,
ZCTA33330,,,1,6,11,20,43
ZCTA33331,,1,5,7,19,36,69
ZCTA33332,,,3,4,7,10,27
ZCTA33334,3,4,19,45,69,64,90
ZCTA33351,2,9,13,23,49,87,183
ZCTA33401,1,3,16,52,82,89,244
ZCTA33402,,,,1,,,
ZCTA33403,1,5,8,28,38,33,50
ZCTA33404,6,9,26,62,84,118,147
ZCTA33405,2,2,16,25,29,53,85
ZCTA33406,1,1,16,23,40,61,81
ZCTA33407,5,10,20,63,65,64,70
ZCTA33408,2,1,1,22,36,76,221
ZCTA33409,1,1,12,42,38,49,86
ZCTA33410,1,3,15,40,61,125,310
ZCTA33411,2,6,26,67,115,181,332
ZCTA33412,,1,7,11,21,34,47
ZCTA33413,,1,9,17,18,33,51
ZCTA33414,1,8,8,31,68,89,195
ZCTA33415,2,9,15,62,76,125,204
ZCTA33416,,,1,,,,
ZCTA33417,2,4,14,50,97,161,452
ZCTA33418,1,5,12,14,70,117,328
ZCTA33419,,1,,,1,1,1
ZCTA33421,,,,1,,,
ZCTA33422,,,,,,,1
ZCTA33424,,,,,,,2
ZCTA33425,,,,,1,1,1
ZCTA33426,,2,5,24,51,87,252
ZCTA33428,1,3,14,29,46,79,219
ZCTA33430,2,3,16,33,39,43,28
ZCTA33431,,,4,11,18,45,137
ZCTA33432,,2,7,21,18,42,162
ZCTA33433,,,,,,,1
ZCTA33433,,1,12,22,50,165,798
ZCTA33434,1,,3,21,42,120,353
ZCTA33435,3,6,23,48,67,100,214
ZCTA33436,1,5,11,47,86,166,382
ZCTA33437,,,6,19,73,288,757
ZCTA33438,,,1,2,3,1,3
ZCTA33440,4,3,15,31,50,63,48
ZCTA33441,4,5,15,49,64,76,130
ZCTA33441,,,,,,2,
ZCTA33442,2,5,12,18,80,131,434
ZCTA33442,,,,,,,2
ZCTA33443,,,,1,,,1
ZCTA33444,1,3,18,23,54,61,59
ZCTA33445,2,2,18,32,68,108,406
ZCTA33446,,2,6,21,70,157,520
ZCTA33449,,,4,4,6,22,50
ZCTA33454,,,,,1,,1
ZCTA33455,,3,11,25,37,108,142
ZCTA33458,,,,1,2,6,5
ZCTA33458,,7,17,34,74,94,215
ZCTA33459,,,,,,1,
ZCTA33460,3,6,15,51,66,69,98
ZCTA33461,1,12,27,62,85,82,150
ZCTA33462,5,3,18,51,68,101,272
ZCTA33463,,13,24,59,72,102,149
ZCTA33464,,,,,,1,
ZCTA33465,,,,,,1,
ZCTA33467,2,3,16,35,109,164,445
ZCTA33468,,,,,,1,1
ZCTA33469,,,2,6,5,18,43
ZCTA33469,1,,4,12,19,52,101
ZCTA33470,,4,11,28,47,53,72
ZCTA33471,,2,4,9,27,28,17
ZCTA33471,,,,,,,1
ZCTA33472,1,1,6,10,35,96,215
ZCTA33473,1,,3,2,10,15,21
ZCTA33476,1,4,7,21,20,17,18
ZCTA33477,,1,1,2,20,82,175
ZCTA33478,,,,,,,1
ZCTA33478,2,1,3,19,24,27,49
ZCTA33480,1,1,2,5,19,44,198
ZCTA33482,,,,,,,1
ZCTA33483,,1,2,8,14,24,135
ZCTA33484,,1,8,39,88,185,695
ZCTA33486,,,4,10,30,39,127
ZCTA33487,1,4,7,12,26,71,156
ZCTA33488,,,,1,,,
ZCTA33493,1,,3,7,3,9,5
ZCTA33496,,3,9,7,19,82,240
ZCTA33497,,,,,1,,
ZCTA33498,1,,2,9,24,49,97
ZCTA33503,,,,,1,,
ZCTA33509,,,1,,1,,
ZCTA33510,4,8,17,35,55,57,84
ZCTA33511,5,15,27,66,97,119,177
ZCTA33513,3,3,11,22,36,63,52
ZCTA33514,1,1,3,6,4,4,7
ZCTA33521,,4,2,6,7,3,7
ZCTA33523,,1,3,8,20,20,23
ZCTA33523,,1,8,25,32,44,52
ZCTA33524,,,,1,1,,1
ZCTA33525,2,2,14,33,62,78,104
ZCTA33526,,,,,,1,
ZCTA33527,1,2,9,23,34,40,31
ZCTA33534,3,6,18,28,40,23,20
ZCTA33537,,,,,2,1,1
ZCTA33538,1,3,3,21,29,42,39
ZCTA33539,,,,1,1,,
ZCTA33540,1,4,13,21,40,49,96
ZCTA33541,,,,,,1,
ZCTA33541,1,3,13,44,101,122,156
ZCTA33542,,2,24,56,79,124,179
ZCTA33543,1,1,10,25,25,45,62
ZCTA33544,2,6,6,16,40,39,47
ZCTA33545,1,3,7,15,26,22,24
ZCTA33547,,4,14,15,24,36,47
ZCTA33548,,1,3,6,13,15,36
ZCTA33548,,,1,1,1,,
ZCTA33549,3,3,11,24,26,26,68
ZCTA33549,,1,1,3,5,12,6
ZCTA33550,,,,,,,1
ZCTA33556,1,1,8,11,21,28,39
ZCTA33556,,,1,6,12,15,11
ZCTA33558,,3,6,16,31,35,47
ZCTA33558,,1,4,3,11,7,16
ZCTA33559,1,1,4,7,18,4,24
ZCTA33559,1,1,2,8,20,10,14
ZCTA33563,4,7,19,48,73,57,86
ZCTA33564,,,,,2,,
ZCTA33565,1,3,13,43,39,63,64
ZCTA33566,4,6,16,32,46,62,52
ZCTA33567,2,,7,13,27,37,34
ZCTA33569,1,5,17,37,51,57,57
ZCTA33570,1,5,20,43,52,78,68
ZCTA33572,,3,5,22,41,49,58
ZCTA33573,,1,7,27,108,275,680
ZCTA33574,,,,,1,1,
ZCTA33576,,,,6,15,33,23
ZCTA33578,4,9,22,37,69,66,84
ZCTA33579,3,4,10,19,37,30,44
ZCTA33583,,,1,,,1,
ZCTA33584,2,6,20,42,60,56,47
ZCTA33585,,,2,2,5,8,5
ZCTA33586,,,,,,,1
ZCTA33592,3,5,10,27,31,36,27
ZCTA33593,,,,1,,2,2
ZCTA33594,2,5,16,46,80,85,110
ZCTA33595,,,1,1,1,1,
ZCTA33596,3,5,11,25,39,45,82
ZCTA33597,,,2,,3,3,1
ZCTA33597,,,,,,,1
ZCTA33597,,2,8,16,35,32,34
ZCTA33598,3,4,6,29,36,38,39
ZCTA33598,,,,,,1,
ZCTA33601,,,1,,1,,1
ZCTA33602,,3,11,29,35,32,32
ZCTA33603,1,4,19,39,42,31,78
ZCTA33604,4,9,38,91,106,89,97
ZCTA33605,1,7,18,57,46,58,57
ZCTA33606,,2,6,13,22,28,65
ZCTA33607,6,6,13,48,49,74,130
ZCTA33608,,,,1,,1,
ZCTA33609,2,3,6,16,35,31,74
ZCTA33610,7,19,40,102,115,117,111
ZCTA33611,2,12,25,55,89,79,147
ZCTA33612,1,14,53,133,153,128,186
ZCTA33613,2,8,25,63,76,91,158
ZCTA33614,3,8,23,72,81,130,168
ZCTA33615,4,11,27,81,104,119,131
ZCTA33616,3,5,12,25,25,31,25
ZCTA33617,5,15,41,54,85,69,115
ZCTA33618,1,2,10,20,39,60,134
ZCTA33619,1,11,43,74,81,87,71
ZCTA33620,,1,,,,,
ZCTA33624,5,6,19,41,70,68,92
ZCTA33625,,4,14,29,39,47,76
ZCTA33626,,1,4,12,23,55,88
ZCTA33629,,2,6,17,27,41,162
ZCTA33634,3,3,11,22,28,49,49
ZCTA33635,,4,10,21,25,35,42
ZCTA33637,2,6,11,15,28,20,36
ZCTA33647,,4,19,39,55,59,104
ZCTA33675,,,,,2,,
ZCTA33685,,,,,,1,
ZCTA33694,,,,,,1,
ZCTA33701,1,2,11,41,41,50,91
ZCTA33702,2,4,20,63,76,93,151
ZCTA33703,,2,14,30,56,75,103
ZCTA33704,,,6,19,25,20,75
ZCTA33705,3,14,37,68,101,85,106
ZCTA33706,,1,10,25,35,43,109
ZCTA33707,1,6,22,50,72,115,231
ZCTA33708,,1,7,18,49,67,129
ZCTA33709,2,4,27,78,108,132,177
ZCTA33710,1,6,19,61,70,84,159
ZCTA33711,5,7,20,37,52,75,85
ZCTA33712,4,11,30,66,82,95,87
ZCTA33713,2,10,23,75,73,61,94
ZCTA33714,6,8,19,67,68,63,55
ZCTA33715,,,2,7,17,38,54
ZCTA33716,2,4,9,20,26,30,58
ZCTA33731,,,,,1,,
ZCTA33733,,,1,,,,1
ZCTA33734,,,,,,,1
ZCTA33744,,,,,4,1,1
ZCTA33755,3,8,16,45,46,71,59
ZCTA33756,,6,24,80,107,102,239
ZCTA33759,1,4,8,23,37,56,156
ZCTA33760,2,4,11,26,31,40,43
ZCTA33761,,1,9,22,47,87,183
ZCTA33762,,1,4,9,12,22,23
ZCTA33763,3,4,7,29,61,112,220
ZCTA33764,2,7,12,37,70,103,130
ZCTA33765,1,3,11,29,38,35,72
ZCTA33766,,,,1,,1,
ZCTA33767,,,2,9,17,30,77
ZCTA33770,1,6,23,49,83,93,226
ZCTA33771,3,4,20,65,129,182,327
ZCTA33772,2,1,10,24,58,85,243
ZCTA33773,,3,11,39,49,64,65
ZCTA33774,1,1,11,28,50,75,134
ZCTA33775,,,,,3,,
ZCTA33776,1,1,5,11,26,45,66
ZCTA33777,,,10,23,48,52,107
ZCTA33778,,7,10,22,63,80,115
ZCTA33779,,,,,1,,1
ZCTA33780,,,,,,,1
ZCTA33781,2,11,15,59,82,80,101
ZCTA33782,,4,11,47,71,98,157
ZCTA33784,,,1,,,,
ZCTA33785,,,2,9,17,17,24
ZCTA33786,,,1,,2,5,12
ZCTA33801,2,6,27,56,92,112,131
ZCTA33802,,,,,,1,
ZCTA33803,,5,13,40,61,79,172
ZCTA33804,,,,,2,2,
ZCTA33805,2,8,27,67,80,101,139
ZCTA33806,,,,,1,,
ZCTA33809,1,6,17,48,64,118,228
ZCTA33810,,,,,,,2
ZCTA33810,2,13,33,71,112,171,187
ZCTA33811,,,,,,,1
ZCTA33811,3,2,11,32,38,46,72
ZCTA33812,,1,5,10,27,17,29
ZCTA33813,1,1,16,28,67,99,171
ZCTA33815,1,3,15,50,54,49,40
ZCTA33820,,,,1,1,1,
ZCTA33823,4,6,17,49,77,114,121
ZCTA33825,,3,20,45,72,127,106
ZCTA33825,,,,2,,,1
ZCTA33827,,,1,4,7,12,17
ZCTA33830,1,6,15,42,84,94,124
ZCTA33834,1,,4,12,11,12,17
ZCTA33834,,,,,,,2
ZCTA33835,,,1,1,2,5,6
ZCTA33836,,,1,1,1,2,2
ZCTA33837,1,4,16,26,70,72,82
ZCTA33838,2,1,4,,13,17,14
ZCTA33839,,,6,7,7,6,9
ZCTA33840,,,,1,1,,1
ZCTA33841,1,4,6,12,25,26,38
ZCTA33843,,1,7,14,28,51,43
ZCTA33844,2,8,25,72,89,153,163
ZCTA33845,,,,1,,,2
ZCTA33846,,1,1,,1,5,1
ZCTA33847,,,,,3,1,2
ZCTA33848,,,,5,2,,4
ZCTA33849,,,,,2,2,1
ZCTA33850,2,3,4,21,30,45,37
ZCTA33851,,,,3,3,7,6
ZCTA33852,,1,11,30,90,126,201
ZCTA33853,1,5,13,35,47,71,114
ZCTA33854,,,1,2,4,4,
ZCTA33855,,,1,2,3,9,13
ZCTA33856,,,,2,7,9,3
ZCTA33857,,,1,7,8,8,11
ZCTA33858,,,,,1,1,
ZCTA33859,,4,2,22,43,68,64
ZCTA33860,,,,1,,,
ZCTA33860,,8,5,22,42,57,55
ZCTA33862,,,,,,1,
ZCTA33863,,,,,,,1
ZCTA33865,,,,2,2,3,4
ZCTA33867,,,,,,,2
ZCTA33868,,2,6,25,29,50,35
ZCTA33870,1,5,19,51,87,120,221
ZCTA33872,,1,6,18,48,91,143
ZCTA33873,1,1,5,18,24,34,46
ZCTA33875,,1,4,20,40,55,63
ZCTA33876,,1,5,7,15,37,27
ZCTA33877,,,1,1,2,2,6
ZCTA33880,4,13,32,64,103,112,147
ZCTA33881,2,6,30,81,125,184,220
ZCTA33882,,,,,,1,1
ZCTA33884,2,5,12,34,95,149,211
ZCTA33885,,,,1,,,1
ZCTA33890,1,1,,9,19,18,20
ZCTA33896,,2,2,4,4,3,5
ZCTA33896,,3,5,1,9,16,15
ZCTA33897,,2,6,20,41,57,37
ZCTA33898,3,4,7,38,78,85,90
ZCTA33901,4,9,21,46,62,106,214
ZCTA33902,,,,,2,,
ZCTA33903,2,4,18,60,131,164,211
ZCTA33904,1,8,20,43,107,164,256
ZCTA33905,2,5,23,56,79,87,121
ZCTA33907,,1,14,34,53,79,191
ZCTA33908,,5,20,41,91,209,623
ZCTA33909,2,1,21,29,45,52,67
ZCTA33910,,,,,,,1
ZCTA33911,,,,,,,4
ZCTA33912,1,1,4,10,50,76,139
ZCTA33913,,2,3,14,40,46,53
ZCTA33914,2,7,16,46,96,108,170
ZCTA33915,,,,,1,1,
ZCTA33916,2,10,26,43,46,63,57
ZCTA33917,,,,1,,,
ZCTA33917,,6,32,70,114,195,223
ZCTA33918,,,,,,,2
ZCTA33919,,2,14,29,81,135,282
ZCTA33920,,2,3,12,16,22,24
ZCTA33921,,,,,4,10,10
ZCTA33922,,,2,7,12,15,17
ZCTA33924,,,,1,1,4,3
ZCTA33927,,,,,1,,
ZCTA33928,1,1,3,18,50,111,114
ZCTA33930,,,,2,3,,1
ZCTA33931,,1,7,12,22,40,80
ZCTA33935,,1,3,4,7,9,4
ZCTA33935,,3,15,45,40,40,71
ZCTA33935,,1,,,,1,
ZCTA33936,,2,21,45,64,103,144
ZCTA33944,,,,2,1,,1
ZCTA33946,,,,3,4,10,15
ZCTA33946,,,,,,,1
ZCTA33947,,1,5,11,38,39,82
ZCTA33948,2,3,8,26,51,74,107
ZCTA33950,1,1,10,25,95,139,204
ZCTA33951,,,,,,,1
ZCTA33952,2,8,30,75,106,181,242
ZCTA33953,1,1,2,8,18,25,34
ZCTA33954,1,,7,15,24,37,70
ZCTA33955,,,8,16,33,36,37
ZCTA33955,,,,1,5,4,6
ZCTA33956,,,,8,16,21,28
ZCTA33957,,,1,5,11,29,43
ZCTA33960,,,1,1,4,6,6
ZCTA33966,,1,2,7,10,14,32
ZCTA33967,,5,9,28,41,32,62
ZCTA33970,,,,,,1,
ZCTA33971,3,6,6,19,29,28,24
ZCTA33972,1,2,7,17,34,29,41
ZCTA33973,1,1,4,8,15,15,10
ZCTA33974,2,3,9,16,27,21,23
ZCTA33975,,,,,,,1
ZCTA33976,1,5,5,16,17,19,9
ZCTA33980,,,2,16,37,62,192
ZCTA33981,,2,4,19,31,40,63
ZCTA33982,,,4,25,33,43,56
ZCTA33983,2,,8,19,42,70,114
ZCTA33990,,6,17,41,80,112,138
ZCTA33991,2,1,11,23,31,74,135
ZCTA33993,2,5,18,29,42,54,53
ZCTA34101,,,,,1,2,
ZCTA34102,,1,1,13,19,48,102
ZCTA34103,,,3,10,21,55,120
ZCTA34104,,4,9,20,52,80,168
ZCTA34105,,2,5,3,20,33,178
ZCTA34108,,1,3,13,20,59,155
ZCTA34109,,1,1,16,34,95,304
ZCTA34110,1,1,5,13,32,93,282
ZCTA34112,,1,10,33,53,94,191
ZCTA34113,1,4,4,11,41,80,229
ZCTA34114,,5,,18,30,70,65
ZCTA34116,1,5,12,28,28,43,38
ZCTA34117,1,1,4,22,15,28,18
ZCTA34119,1,,6,14,29,92,146
ZCTA34120,2,,12,28,43,65,63
ZCTA34133,,1,,,,,
ZCTA34134,,,,,,5,9
ZCTA34134,1,2,2,13,24,57,118
ZCTA34135,,,,,1,2,
ZCTA34135,1,2,12,35,72,154,205
ZCTA34137,,,,,1,2,
ZCTA34138,,,,1,1,2,3
ZCTA34139,,,,1,4,2,1
ZCTA34140,,,,1,,1,1
ZCTA34141,,,,2,1,1,1
ZCTA34142,4,5,5,21,22,23,18
ZCTA34143,,,,,,,2
ZCTA34145,,,3,13,30,68,126
ZCTA34201,1,,,1,11,8,16
ZCTA34202,,1,5,9,23,33,86
ZCTA34202,,,,,,,1
ZCTA34203,2,4,29,46,89,149,193
ZCTA34204,,1,,,,,1
ZCTA34205,6,10,31,73,105,140,348
ZCTA34206,,1,,1,1,2,3
ZCTA34207,4,8,25,87,144,152,196
ZCTA34208,5,7,30,75,98,117,143
ZCTA34209,2,4,18,44,105,194,426
ZCTA34210,,5,13,26,35,82,134
ZCTA34211,,,2,3,15,23,41
ZCTA34212,,3,3,10,30,43,49
ZCTA34215,,,,3,3,4,4
ZCTA34216,,,,,3,10,9
ZCTA34217,,3,3,6,18,24,39
ZCTA34219,,,,,1,,
ZCTA34219,1,2,11,25,50,47,81
ZCTA34220,,,,1,,,
ZCTA34221,2,6,20,73,132,176,202
ZCTA34222,,2,7,29,73,92,98
ZCTA34223,,2,2,5,12,11,20
ZCTA34223,,2,14,24,57,97,191
ZCTA34224,,3,12,26,46,92,111
ZCTA34224,,1,1,,2,6,4
ZCTA34228,,,,2,9,12,21
ZCTA34228,,,,1,7,15,43
ZCTA34229,2,1,2,8,12,22,57
ZCTA34230,,,1,,2,,1
ZCTA34231,,5,24,47,63,106,376
ZCTA34232,1,2,18,58,73,91,189
ZCTA34233,2,2,2,19,33,74,162
ZCTA34234,1,5,15,43,61,74,93
ZCTA34235,,2,5,16,27,55,166
ZCTA34236,1,,9,18,28,57,173
ZCTA34237,1,1,6,18,35,39,63
ZCTA34238,1,,11,12,31,90,201
ZCTA34239,1,4,6,22,38,49,94
ZCTA34240,2,1,2,8,19,25,44
ZCTA34241,,1,1,15,16,36,49
ZCTA34242,,,2,2,19,21,69
ZCTA34243,,,8,19,40,57,106
ZCTA34243,,,3,14,19,27,48
ZCTA34250,,,,,1,,1
ZCTA34251,,1,4,2,10,10,13
ZCTA34264,,,,,,,1
ZCTA34266,4,11,18,52,67,84,79
ZCTA34267,,,,,,2,2
ZCTA34268,,,,1,1,,
ZCTA34269,,,,6,13,22,21
ZCTA34270,,,,,1,1,
ZCTA34272,,,,,,1,1
ZCTA34275,1,,8,19,44,69,123
ZCTA34276,,,,,,,1
ZCTA34277,,,,,,1,
ZCTA34281,,,,,,4,2
ZCTA34284,,,,,,1,1
ZCTA34285,1,,7,15,44,101,273
ZCTA34286,1,3,10,19,41,51,22
ZCTA34287,4,7,10,36,81,122,223
ZCTA34288,1,3,7,14,27,25,17
ZCTA34289,,,1,2,3,4,8
ZCTA34291,1,3,3,6,17,16,13
ZCTA34292,,,3,15,45,88,245
ZCTA34293,4,2,14,52,90,172,340
ZCTA34295,,,,1,,1,1
ZCTA34420,1,5,15,33,59,97,121
ZCTA34421,,,,1,2,,2
ZCTA34423,,,,,1,,4
ZCTA34428,,,10,31,43,54,77
ZCTA34429,3,2,10,25,47,71,115
ZCTA34430,,,,1,,4,2
ZCTA34431,,,,2,3,4,7
ZCTA34431,1,,6,17,35,73,86
ZCTA34432,,4,8,31,57,98,122
ZCTA34433,,4,6,17,21,43,37
ZCTA34433,,1,1,2,1,3,1
ZCTA34434,,1,9,16,25,48,60
ZCTA34434,,,,1,,1,1
ZCTA34436,,1,9,29,29,61,73
ZCTA34442,,5,18,26,80,128,146
ZCTA34445,,,,1,,,1
ZCTA34446,,3,9,47,103,137,174
ZCTA34447,,,,,,,2
ZCTA34448,1,,11,42,63,88,100
ZCTA34449,,,2,1,6,1,3
ZCTA34449,,,3,12,34,33,28
ZCTA34450,1,4,10,39,44,104,137
ZCTA34452,,4,17,23,61,103,138
ZCTA34453,2,4,15,21,51,79,105
ZCTA34460,,,,1,,1,
ZCTA34461,,2,5,14,56,95,197
ZCTA34464,,,,,,,2
ZCTA34465,1,1,9,34,73,157,208
ZCTA34470,4,5,19,50,83,110,156
ZCTA34471,1,4,24,38,100,154,311
ZCTA34472,2,7,22,48,92,126,148
ZCTA34473,1,4,16,31,46,86,75
ZCTA34474,3,3,14,21,60,98,138
ZCTA34475,,5,15,36,49,50,48
ZCTA34476,,2,9,18,89,228,260
ZCTA34477,,,,1,,,
ZCTA34478,,,,2,1,,4
ZCTA34479,,3,5,21,53,67,77
ZCTA34480,2,3,12,25,51,74,81
ZCTA34481,1,1,8,33,102,232,407
ZCTA34482,3,2,12,42,68,124,135
ZCTA34483,,,,,1,,
ZCTA34484,,,,5,9,25,87
ZCTA34488,3,8,12,44,65,68,61
ZCTA34489,,,,,1,,2
ZCTA34491,,8,18,43,119,211,282
ZCTA34498,,,,1,4,3,5
ZCTA34601,2,3,21,61,100,134,192
ZCTA34602,,4,5,12,25,25,34
ZCTA34603,,,,,,2,
ZCTA34604,,4,8,20,36,33,41
ZCTA34605,,,,1,1,,1
ZCTA34606,2,8,24,53,85,158,249
ZCTA34607,,1,3,9,42,50,48
ZCTA34608,2,12,17,59,102,162,222
ZCTA34609,2,9,21,46,129,200,231
ZCTA34610,,6,10,29,45,36,40
ZCTA34613,,2,15,41,76,151,206
ZCTA34614,,1,5,10,21,28,16
ZCTA34636,,,,,1,,
ZCTA34637,,2,3,3,13,16,18
ZCTA34638,,1,8,17,28,30,38
ZCTA34639,,1,10,20,42,52,68
ZCTA34652,1,7,23,74,71,115,159
ZCTA34653,3,6,36,65,152,159,250
ZCTA34654,2,6,22,37,71,74,107
ZCTA34655,,4,21,33,91,147,255
ZCTA34660,,,,,,,1
ZCTA34661,,,,1,,4,
ZCTA34667,6,11,33,89,154,236,340
ZCTA34668,5,15,51,102,150,189,270
ZCTA34669,,3,10,27,45,55,85
ZCTA34677,1,2,9,20,34,41,98
ZCTA34679,,,,,,3,
ZCTA34681,,2,,1,4,2,6
ZCTA34683,1,1,14,45,59,79,140
ZCTA34684,,4,8,48,58,126,345
ZCTA34685,1,1,2,9,24,41,70
ZCTA34688,,,,,,,1
ZCTA34688,,,1,7,10,18,51
ZCTA34689,,4,8,27,67,109,183
ZCTA34690,1,4,10,34,46,56,97
ZCTA34691,1,10,22,46,80,87,95
ZCTA34695,,2,7,19,47,67,110
ZCTA34697,,,,,,,1
ZCTA34698,1,3,19,51,86,168,334
ZCTA34705,,1,1,3,8,10,5
ZCTA34711,3,7,31,51,109,167,316
ZCTA34712,1,,,,,,
ZCTA34714,2,2,13,18,26,29,31
ZCTA34715,1,2,7,16,21,28,37
ZCTA34729,,,,,1,1,
ZCTA34731,2,1,7,21,45,66,70
ZCTA34731,,,,,,,1
ZCTA34734,,,,4,2,6,11
ZCTA34736,2,6,10,25,40,34,46
ZCTA34737,,,1,5,4,9,13
ZCTA34739,,,1,2,1,2,5
ZCTA34740,,,,,,2,
ZCTA34741,3,10,41,49,101,111,107
ZCTA34742,1,,,,,1,1
ZCTA34743,1,9,10,21,50,83,97
ZCTA34744,4,13,23,59,100,99,134
ZCTA34745,,,,,,,1
ZCTA34746,5,11,27,55,90,113,212
ZCTA34747,,,,,,1,
ZCTA34747,,4,5,18,22,23,34
ZCTA34748,5,7,21,82,163,307,389
ZCTA34753,1,1,3,3,13,12,4
ZCTA34755,,,,,,1,
ZCTA34756,1,,2,3,4,13,9
ZCTA34758,2,3,20,26,56,77,81
ZCTA34759,1,5,7,8,25,37,29
ZCTA34759,,2,6,20,59,71,59
ZCTA34760,,,2,3,2,4,2
ZCTA34761,,7,18,31,61,76,119
ZCTA34762,,,,3,1,,6
ZCTA34769,3,7,21,49,71,94,142
ZCTA34771,1,4,10,20,42,33,59
ZCTA34772,1,10,15,26,44,68,69
ZCTA34773,1,2,3,4,5,7,9
ZCTA34778,,,,,,,2
ZCTA34785,1,3,14,34,52,89,108
ZCTA34786,1,5,10,18,18,41,55
ZCTA34787,,,,,1,,4
ZCTA34787,3,8,19,54,71,130,182
ZCTA34788,,3,12,35,81,132,130
ZCTA34789,,,,,1,1,
ZCTA34797,,,1,3,4,11,9
ZCTA34945,,1,1,5,16,10,19
ZCTA34946,,5,7,20,31,29,28
ZCTA34947,1,2,11,24,22,39,30
ZCTA34948,,,,1,,,
ZCTA34949,,1,1,9,23,29,67
ZCTA34950,1,10,24,45,71,53,77
ZCTA34951,,,7,33,46,76,137
ZCTA34952,1,7,31,62,142,246,392
ZCTA34953,3,2,34,72,102,146,150
ZCTA34954,,,,,1,,1
ZCTA34956,1,3,4,7,9,14,30
ZCTA34957,,1,12,27,44,76,178
ZCTA34957,,1,,2,10,27,46
ZCTA34958,,,,,,,1
ZCTA34972,1,10,13,48,44,63,60
ZCTA34972,,,,1,2,1,1
ZCTA34973,,,1,1,,,
ZCTA34974,,1,3,8,13,16,10
ZCTA34974,,,,1,,7,3
ZCTA34974,,,,1,,,2
ZCTA34974,,6,14,49,95,129,138
ZCTA34979,,,,,,,2
ZCTA34981,,1,1,7,6,13,52
ZCTA34982,1,1,13,50,65,99,149
ZCTA34983,2,5,27,45,74,131,177
ZCTA34984,3,6,11,17,35,57,54
ZCTA34985,,,1,1,,,1
ZCTA34986,1,3,6,21,69,116,181
ZCTA34987,,2,2,5,16,34,43
ZCTA34990,,1,5,20,52,89,230
ZCTA34990,,,,,2,3,5
ZCTA34991,,,,,,1,
ZCTA34992,,,,,1,,
ZCTA34994,1,,5,35,30,70,212
ZCTA34994,,,,,,,1
ZCTA34995,,,,,1,,1
ZCTA34996,,1,4,9,32,64,119
ZCTA34997,1,3,19,61,95,174,299
