ZCTA,heart_25to34,heart_35to44,heart_45to54,heart_55to64,heart_65to74,heart_75to84,heart_85up
ZCTA32244,,1,2,,1,1,
ZCTA32244,9,15,35,81,117,106,118
ZCTA32245,,,,,,1,
ZCTA32246,3,5,28,55,73,77,84
ZCTA32247,,,,,,,1
ZCTA32250,2,6,15,33,45,70,123
ZCTA32254,5,12,20,44,39,26,32
ZCTA32255,,,,,,,1
ZCTA32256,3,7,16,33,56,77,160
ZCTA32257,3,8,19,54,73,100,160
ZCTA32258,3,3,11,16,34,36,90
ZCTA32259,,,,1,2,5,13
ZCTA32259,,5,14,15,39,63,128
ZCTA32266,1,2,3,9,13,12,26
ZCTA32277,3,9,18,46,42,58,73
ZCTA32301,3,5,14,34,44,41,63
ZCTA32302,,,,1,,,
ZCTA32303,5,12,22,41,77,61,135
ZCTA32304,1,10,18,36,19,27,46
ZCTA32305,2,6,22,54,61,60,43
ZCTA32306,,,,,,1,
ZCTA32307,,,,1,,,
ZCTA32308,4,5,11,21,47,73,199
ZCTA32309,,,,,1,,
ZCTA32309,2,4,12,25,48,53,120
ZCTA32310,1,4,15,28,38,32,29
ZCTA32311,2,2,8,20,30,23,32
ZCTA32312,,1,14,23,40,54,101
ZCTA32317,1,,6,12,22,27,37
ZCTA32320,,1,2,7,4,10,12
ZCTA32321,,3,4,9,12,11,11
ZCTA32322,,1,5,11,9,13,12
ZCTA32323,,,,,,2,1
ZCTA32324,,2,2,12,14,8,19
ZCTA32326,,1,,,,,
ZCTA32327,2,4,15,47,60,61,76
ZCTA32328,,1,1,1,9,19,13
ZCTA32330,,,,1,2,2,2
ZCTA32331,,,1,,4,1,5
ZCTA32331,1,1,6,13,17,18,16
ZCTA32331,,,,,1,2,1
ZCTA32332,,2,1,3,13,9,5
ZCTA32333,,6,12,25,27,30,35
ZCTA32334,,,1,9,4,8,7
ZCTA32336,,,1,2,2,2,3
ZCTA32337,,,,,,,1
ZCTA32340,,2,22,12,38,39,74
ZCTA32341,,,1,,,,
ZCTA32343,1,1,5,6,4,5,6
ZCTA32344,1,6,12,27,33,49,45
ZCTA32344,,,,1,,,
ZCTA32345,,,,2,,,1
ZCTA32346,,,,,1,1,1
ZCTA32346,,,,3,10,8,3
ZCTA32347,1,1,6,19,23,29,33
ZCTA32348,,5,8,24,34,38,40
ZCTA32350,,,1,1,4,4,6
ZCTA32351,5,7,13,30,48,43,66
ZCTA32351,,,,,,1,
ZCTA32352,1,2,4,9,22,11,9
ZCTA32353,,,,1,1,,
ZCTA32355,,,,1,2,,2
ZCTA32356,,,,1,1,,
ZCTA32358,,2,1,4,8,10,4
ZCTA32359,,,,,3,1,3
ZCTA32359,,,2,4,1,9,7
ZCTA32360,,,,,1,2,
ZCTA32361,,1,,,2,1,
ZCTA32362,,,,,2,,
ZCTA32401,6,10,34,76,85,85,122
ZCTA32402,,,,,1,,
ZCTA32404,2,10,38,72,114,158,160
ZCTA32405,2,11,25,50,65,85,136
ZCTA32407,1,5,5,21,27,29,39
ZCTA32408,,3,12,21,39,46,58
ZCTA32409,2,3,5,25,19,31,30
ZCTA32410,,1,,,,,3
ZCTA32411,,,,,,4,7
ZCTA32413,,2,9,27,33,45,54
ZCTA32413,,,,,2,,1
ZCTA32417,,,,,1,,1
ZCTA32420,,,9,4,6,7,11
ZCTA32421,,2,6,9,16,15,13
ZCTA32422,,,,,,,2
ZCTA32423,,,2,7,2,6,7
ZCTA32424,,1,10,12,25,28,32
ZCTA32425,2,1,13,32,58,74,77
ZCTA32425,,,,5,4,8,5
ZCTA32426,,,1,2,3,4,5
ZCTA32427,,,1,4,4,3,5
ZCTA32428,1,3,18,57,62,84,82
ZCTA32430,1,,,3,3,3,6
ZCTA32431,1,2,4,8,13,23,17
ZCTA32431,,,1,2,1,3,3
ZCTA32432,,,1,1,1,1,
ZCTA32433,3,2,13,47,46,64,53
ZCTA32435,1,5,3,10,34,38,56
ZCTA32437,,1,,,,1,1
ZCTA32437,1,1,1,2,2,2,5
ZCTA32438,,2,4,16,19,18,13
ZCTA32439,,1,5,15,15,23,32
ZCTA32440,,,1,,2,4,6
ZCTA32440,,3,5,11,22,16,33
ZCTA32442,,1,2,5,15,20,13
