ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA34251,,,,,1,,3,2,1
ZCTA34250,,,,,,,,,1
ZCTA34243,,,,1,,2,7,5,7
ZCTA34243,,,,,,,3,2,4
ZCTA34242,,,,,,,2,1,3
ZCTA34241,,,,,,,5,2,5
ZCTA34240,,,,,,1,2,3,2
ZCTA34239,,,,,,5,4,4,4
ZCTA34238,,,1,,,1,4,6,5
ZCTA34237,,,1,,1,3,7,5,4
ZCTA34236,,,,1,,1,4,3,6
ZCTA34235,,,1,,1,1,6,6,5
ZCTA34234,,,,2,2,13,11,8,8
ZCTA34233,,,,1,1,5,2,7,6
ZCTA34232,,,,1,1,2,5,8,6
ZCTA34231,,,,,2,4,12,15,6
ZCTA34229,,,,,2,1,,2,2
ZCTA34228,,,,,,,1,,
ZCTA34228,,,,,1,,,2,2
ZCTA34224,,,,,1,4,8,11,10
ZCTA34224,,,,,,,1,,
ZCTA34223,,,,,,,2,2,
ZCTA34223,,,,,1,2,9,6,11
ZCTA34222,,,,,,6,7,1,
ZCTA34221,,,1,1,3,11,25,19,15
ZCTA34219,,,,,1,5,5,9,5
ZCTA34217,,,,,1,2,,,3
ZCTA34216,,,,,,,,,1
ZCTA34215,,,,,,,,1,1
ZCTA34212,,,,,,2,1,3,
ZCTA34211,,,,,,,1,2,1
ZCTA34210,,,,,2,,6,3,4
ZCTA34209,,,,,1,6,3,11,19
ZCTA34208,,,1,2,4,9,15,9,11
ZCTA34207,,,,1,5,14,16,12,10
ZCTA34205,,,,1,7,10,9,15,18
ZCTA34203,,,,1,6,9,18,12,13
ZCTA34202,,,,,,,5,4,3
ZCTA34201,,,,,,,1,,2
ZCTA34145,,,,,1,1,4,3,8
ZCTA34142,,,1,2,7,9,7,2,3
ZCTA34141,,,,,1,1,,,
ZCTA34138,,,,,,,,1,
ZCTA34137,,,,,,1,,,
ZCTA34135,,,1,1,3,5,13,15,9
ZCTA34134,,,,,,1,,2,
ZCTA34134,,,,,,1,2,6,5
ZCTA34120,,,,,4,2,5,8,5
ZCTA34119,,,1,,2,3,6,12,4
ZCTA34117,,,,,3,,3,3,2
ZCTA34116,,,,,4,1,5,6,3
ZCTA34114,,,1,,1,1,6,4,3
ZCTA34113,,,,,,4,3,12,5
ZCTA34112,,,,,,7,8,13,9
ZCTA34110,,,,,2,3,8,14,7
ZCTA34109,,,,,,2,7,7,8
ZCTA34108,,,,,,1,2,4,2
