ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA33025,,,,1,5,8,18,15,6
ZCTA33024,,,,1,7,14,26,15,13
ZCTA33023,,,1,2,6,18,16,24,12
ZCTA33021,,,,,3,5,15,12,11
ZCTA33020,,,,2,7,25,20,11,7
ZCTA33019,,,,,,1,4,3,3
ZCTA33018,,,,,2,2,17,23,10
ZCTA33016,,,,,1,5,13,13,17
ZCTA33015,,1,,2,4,5,10,13,6
ZCTA33014,,,,1,3,5,16,15,14
ZCTA33013,,,,,3,7,16,22,24
ZCTA33012,,,3,1,4,9,27,41,35
ZCTA33010,,,,,4,11,23,33,33
ZCTA33009,,,,,3,8,13,11,12
ZCTA33009,,,,,,,,1,
ZCTA33004,,,,1,2,8,7,7,1
ZCTA32976,,,,,,9,7,8,11
ZCTA32976,,,,,,,,1,
ZCTA32968,,,,,1,4,4,7,3
ZCTA32967,,,,2,1,3,9,14,4
ZCTA32966,,,,,2,3,8,14,11
ZCTA32963,,,,1,1,,,2,3
ZCTA32962,,,1,1,4,11,10,7,5
ZCTA32960,,,,1,2,10,8,9,13
ZCTA32958,,,,,1,3,12,18,7
ZCTA32955,,,1,1,6,8,17,13,9
ZCTA32953,,,,,2,11,15,10,8
ZCTA32952,,,,1,1,5,6,9,
ZCTA32951,,,,,,1,3,1,1
ZCTA32950,,,,,1,1,2,,3
ZCTA32949,,,,,,1,1,1,1
ZCTA32948,,,,,,1,2,1,1
ZCTA32941,,,,,,,1,,
ZCTA32940,,,,,,3,15,14,19
ZCTA32937,,,,,3,2,7,9,6
ZCTA32935,,,1,4,2,14,14,13,8
ZCTA32934,,,1,2,4,4,9,6,3
ZCTA32931,,,,,,3,7,7,5
ZCTA32927,,,1,3,3,11,4,8,3
ZCTA32926,,,,1,2,5,7,4,6
ZCTA32925,,,,,,,,,1
ZCTA32924,,,,,,1,,,
ZCTA32922,1,,,1,,8,9,9,4
ZCTA32920,,,,,1,4,5,1,4
ZCTA32909,,,1,3,3,10,5,8,9
ZCTA32908,,,,,2,5,5,7,1
ZCTA32907,,,,1,2,14,21,22,10
ZCTA32905,,,1,1,3,15,14,10,8
ZCTA32904,,,1,1,1,8,10,6,13
ZCTA32903,,,,,,2,1,2,2
ZCTA32901,,1,,3,4,9,15,14,9
ZCTA32839,,,,2,5,7,11,9,
ZCTA32837,,,,,4,3,10,12,9
ZCTA32836,,,,,,,2,5,
ZCTA32835,,,1,2,2,4,3,8,3
ZCTA32834,,,,,,1,,,
ZCTA32833,1,,,1,,1,2,2,4
ZCTA32832,,1,1,,2,1,4,,4
ZCTA32829,,,,,1,2,8,2,5
ZCTA32828,,,,,4,5,11,11,4
ZCTA32827,,,,,1,1,4,1,2
ZCTA32826,,,,,2,4,7,2,5
ZCTA32825,,,1,,6,6,11,18,12
ZCTA32824,,,,1,1,5,8,5,5
ZCTA32822,,,1,5,4,12,24,20,11
ZCTA32821,,,,,2,5,2,3,2
ZCTA32820,,,1,1,2,4,3,1,
ZCTA32819,,,,,2,2,7,4,3
ZCTA32818,,,1,2,2,14,27,20,9
ZCTA32817,,,,1,1,4,8,8,8
ZCTA32812,,,,1,4,2,11,7,7
ZCTA32811,,,2,2,3,7,13,12,7
ZCTA32810,,,,,3,7,14,9,11
ZCTA32809,,,,,3,6,6,7,5
ZCTA32808,,,1,3,9,20,19,17,8
ZCTA32807,,,,1,4,9,12,11,11
ZCTA32806,,,,2,5,4,10,4,9
ZCTA32805,,,1,,4,16,13,15,5
ZCTA32804,,1,,,2,2,2,3,2
ZCTA32803,,,,,2,7,1,3,4
ZCTA32801,,,,,,1,8,4,6
ZCTA32798,,,,,,1,3,6,6
ZCTA32796,,,,,2,7,14,10,6
ZCTA32792,,,1,2,3,5,9,10,15
ZCTA32792,,,,,3,2,3,3,2
ZCTA32789,,,,,3,3,5,1,7
ZCTA32784,,,,,2,7,4,5,4
ZCTA32784,,,,1,,3,2,1,1
ZCTA32780,,1,1,1,3,12,15,13,8
ZCTA32779,,,,,1,5,7,5,9
ZCTA32778,,,,1,4,5,12,14,8
ZCTA32777,,,,,,,,1,
ZCTA32776,,,,1,1,1,4,4,2
ZCTA32773,,,1,1,3,8,9,9,4
ZCTA32771,,,,2,7,24,29,34,14
ZCTA32767,,,,,1,2,,1,1
ZCTA32766,,,,,,2,,4,1
ZCTA32765,,,1,2,3,6,12,13,11
ZCTA32764,,,,,1,4,5,1,1
ZCTA32763,,,1,1,1,9,23,12,20
ZCTA32759,,,,,,,4,3,4
ZCTA32757,,,1,1,6,10,12,12,11
ZCTA32757,,,,1,1,3,,2,1
ZCTA32754,,,,,1,3,5,2,1
ZCTA32751,,,1,1,,4,5,8,6
ZCTA32751,,,,,,,2,,4
ZCTA32750,,,,,1,9,13,15,11
ZCTA32746,,,2,2,,6,5,12,18
ZCTA32744,,,,,1,2,,2,3
ZCTA32738,1,,,2,9,15,24,20,7
ZCTA32736,,,,,,3,4,4,2
ZCTA32735,,,,,,,3,4,2
ZCTA32732,,,,,1,,1,2,1
ZCTA32730,,,,2,,1,3,,3
ZCTA32727,,,,,,,,,1
ZCTA32726,,,,3,1,7,12,15,7
ZCTA32725,,,1,2,9,13,31,19,19
ZCTA32724,,,1,,1,10,14,19,15
ZCTA32720,,,,,1,,,1,
ZCTA32720,,,1,,9,13,11,16,14
ZCTA32716,,,,,,,,,1
ZCTA32714,,,,2,1,9,8,11,5
ZCTA32713,,,,,,5,10,19,11
ZCTA32712,,,1,1,3,8,11,14,10
ZCTA32709,,,,,,,1,,2
ZCTA32708,,,,2,3,7,13,7,11
ZCTA32707,,,1,,4,11,12,13,6
ZCTA32704,,,,,,1,,,
ZCTA32703,,,,,7,14,20,15,12
ZCTA32703,,,,1,,1,4,4,1
ZCTA32702,,,,,,1,1,3,5
ZCTA32701,1,,,1,2,6,9,13,13
ZCTA32696,,,,,2,7,12,4,2
ZCTA32694,,,,,,4,1,,3
ZCTA32693,,,,,1,3,5,4,3
ZCTA32693,,,,,,1,1,4,1
ZCTA32686,,,,,1,1,1,2,
ZCTA32681,,,,,,1,,,
ZCTA32680,,,,2,1,8,8,6,2
ZCTA32669,,,,,2,,5,4,
ZCTA32668,,,,,,1,4,3,
ZCTA32668,,,,,,,1,1,
ZCTA32667,,,,,,,1,1,
ZCTA32667,,,,,,2,,1,1
ZCTA32666,,,,,1,1,2,,
ZCTA32666,,,,,,,1,,1
ZCTA32666,,,,,,,1,,1
ZCTA32666,,,,,2,2,1,3,1
ZCTA32658,,,,,1,,1,,
ZCTA32656,,,,,,,,2,1
ZCTA32656,,,,,,5,10,6,2
ZCTA32653,,,1,1,1,1,6,1,5
ZCTA32648,,,,,1,,,1,
ZCTA32643,,1,,,1,,2,3,1
ZCTA32643,,,,,1,1,4,,
ZCTA32641,,,,1,3,3,8,7,4
ZCTA32640,,,,,,4,5,2,2
ZCTA32640,,,,1,1,4,2,1,2
ZCTA32639,,,,,1,,,,
ZCTA32634,,,,,,1,,,
ZCTA32628,,,1,,1,3,2,2,
ZCTA32626,,,1,1,,3,3,6,2
ZCTA32625,,,,,,2,,,1
ZCTA32622,,,,,,,,,1
ZCTA32621,,,,,1,4,5,,5
ZCTA32619,,,,,2,1,2,2,2
ZCTA32618,,,,,,4,4,6,2
ZCTA32618,,,,,,1,2,,
ZCTA32617,,,,,1,,3,,
ZCTA32616,,,,,1,,,,
ZCTA32615,,,1,,3,6,8,6,2
ZCTA32609,,,,2,4,9,12,7,2
ZCTA32608,,,,3,2,11,12,7,6
ZCTA32607,,1,1,1,2,4,9,7,5
ZCTA32606,,,,1,1,4,6,4,8
ZCTA32605,,,,,1,5,6,10,2
ZCTA32601,,,1,1,3,1,7,1,1
ZCTA32583,,,2,1,3,7,8,7,3
ZCTA32580,,,,,2,2,2,1,3
ZCTA32579,,,,1,2,1,1,4,10
ZCTA32578,,,,,1,5,6,8,4
ZCTA32577,,,,1,,2,3,1,
ZCTA32571,,,,,6,5,14,6,4
ZCTA32570,,,3,2,4,13,16,13,4
ZCTA32569,,,,,2,5,4,3,2
ZCTA32568,,,,,1,,3,3,1
ZCTA32567,,,,,1,,1,3,
ZCTA32567,,,,,,,1,1,1
ZCTA32566,,,,2,4,9,13,12,8
ZCTA32565,,,,,2,,2,3,2
ZCTA32564,,,,1,1,,2,1,
ZCTA32564,,,,,,,,1,
ZCTA32563,,,,,2,2,6,7,6
ZCTA32561,,,,,,,,1,
ZCTA32561,,,,,1,,3,2,3
ZCTA32550,,,,,,,,,1
ZCTA32550,,,,,,1,1,3,2
ZCTA32548,,,,,9,11,13,16,11
ZCTA32547,,,1,1,6,12,12,15,4
ZCTA32541,,,1,,1,5,3,6,4
ZCTA32539,,,,,5,11,11,12,3
ZCTA32539,,,,,,,1,,
ZCTA32538,,,,,,,1,,
ZCTA32536,,,1,3,2,10,15,15,8
ZCTA32535,,,,,,,3,2,3
ZCTA32534,,,,1,2,5,7,6,2
ZCTA32533,,,1,1,2,9,7,12,5
ZCTA32531,,,,,,3,,3,3
ZCTA32526,,,,2,8,12,12,18,9
ZCTA32524,,,,,1,,,,
ZCTA32516,,,,,,,,2,
ZCTA32514,,,2,4,7,8,14,19,5
ZCTA32507,,,1,3,3,9,13,13,3
ZCTA32506,,,,3,6,11,13,8,8
ZCTA32505,,1,,,11,28,15,9,7
ZCTA32504,,,,,4,5,8,4,12
ZCTA32503,,,,1,4,5,13,8,3
ZCTA32502,,,,,,2,,3,
ZCTA32501,,,1,1,4,9,9,4,3
ZCTA32466,,,,,,2,1,2,2
ZCTA32466,,,,,,,,1,
ZCTA32465,,,,2,,3,9,7,2
ZCTA32464,,,,,1,2,5,1,2
ZCTA32464,,,,,,1,,,
ZCTA32462,,,,,1,,4,2,1
ZCTA32461,,,,,,,,1,1
ZCTA32460,,,,,1,2,3,2,2
ZCTA32459,,,,,1,5,1,3,3
ZCTA32456,,,,1,2,4,6,4,6
ZCTA32455,,,,,1,1,1,1,1
ZCTA32455,,,,,,2,2,,
ZCTA32449,,,,,,,1,,
ZCTA32448,,,,1,2,2,6,3,1
ZCTA32446,,,,,1,3,5,11,5
ZCTA32445,,,,,,,2,,
ZCTA32444,,,,1,3,5,14,7,12
ZCTA32443,,,,,,2,2,,2
ZCTA32442,,,,,,1,1,2,1
ZCTA32440,,,,,,,1,,
ZCTA32440,,,,,2,1,3,3,3
ZCTA32439,,,1,,1,3,1,5,
ZCTA32438,,,,1,1,1,1,4,
ZCTA32435,,,1,,1,3,4,5,3
ZCTA32433,,1,,3,1,8,10,6,4
ZCTA32431,,,,1,1,2,1,1,2
ZCTA32431,,,,,,2,,,
ZCTA32430,,,,,,,2,,
ZCTA32428,,,,2,7,5,16,17,7
ZCTA32427,,1,,,1,,2,2,1
ZCTA32425,,,,1,4,8,8,5,2
ZCTA32425,,,,,,,1,,2
ZCTA32424,,,,,2,6,5,7,
ZCTA32423,,,,,1,,,,1
ZCTA32421,,,,,,,3,2,2
ZCTA32420,,,,1,,2,3,1,
ZCTA32413,,,,,1,2,10,6,2
ZCTA32409,,,1,,1,4,5,9,4
ZCTA32408,,,,1,5,8,10,6,4
ZCTA32407,,,,1,1,6,5,3,3
ZCTA32405,,,,,9,10,17,17,21
ZCTA32404,1,,1,,9,12,15,27,18
ZCTA32402,,,,,,,1,,
ZCTA32401,,,1,7,4,18,15,16,17
ZCTA32359,,,,,,,1,,
ZCTA32359,,,,,,2,1,2,
ZCTA32358,,,,,,1,1,1,1
ZCTA32356,,,,,,,,,1
ZCTA32355,,,,,,,,1,
ZCTA32352,,,,,2,4,2,1,1
ZCTA32351,,,,1,3,9,10,6,10
ZCTA32350,,,,,,,,2,
ZCTA32348,,,,,4,4,20,12,9
ZCTA32347,,,,,1,9,5,9,7
ZCTA32346,,,,,,1,,,
ZCTA32346,,,,,,1,,,
ZCTA32345,,,,,,1,,,
ZCTA32344,,,,,1,7,14,9,1
ZCTA32343,,,,,,2,3,1,1
ZCTA32340,,,1,1,,3,4,8,7
ZCTA32336,,,,,,1,2,1,1
ZCTA32334,,,,,,,,2,
ZCTA32333,,,,,1,10,2,5,3
ZCTA32332,,,,,1,2,,,
ZCTA32331,,,,,,,1,,1
ZCTA32331,,,,,,2,1,2,
ZCTA32331,,,,,,,,1,
ZCTA32330,,,,,,1,,,
ZCTA32328,,,,,2,2,3,,
ZCTA32327,,,,1,2,5,13,8,1
ZCTA32324,,,,,1,7,3,1,3
ZCTA32323,,,,,,,1,1,
ZCTA32322,,,,,1,1,3,1,1
ZCTA32321,,,,,1,2,1,2,1
ZCTA32320,,,,,,,2,,
ZCTA32317,,,,,,4,1,2,4
ZCTA32312,,,,,1,3,5,5,3
ZCTA32311,,,,1,1,,6,4,3
ZCTA32310,,1,,1,3,6,7,8,2
ZCTA32309,,,,,1,2,4,8,6
ZCTA32308,,,,,1,6,8,3,10
ZCTA32305,1,,1,2,2,14,16,10,2
ZCTA32304,,,,3,5,10,8,6,2
ZCTA32303,,,1,1,4,9,17,8,11
ZCTA32301,,,,3,5,4,7,6,2
ZCTA32277,,1,1,,7,3,9,9,6
ZCTA32266,,,,,1,,1,3,
ZCTA32259,,,,,1,3,7,10,6
ZCTA32258,,,1,,,4,7,5,6
ZCTA32257,,,2,1,4,10,18,11,9
ZCTA32256,,,,2,2,3,13,6,3
ZCTA32254,,,,3,8,7,7,4,1
ZCTA32250,,1,,,1,3,9,4,9
ZCTA32246,,,2,1,3,10,13,8,6
ZCTA32244,1,1,2,1,14,13,23,17,10
ZCTA32234,,,,,,1,1,,
ZCTA32234,,,,,1,3,8,1,1
ZCTA32233,,,,2,3,6,4,6,8
ZCTA32226,,1,,1,2,3,9,3,3
ZCTA32225,,,,3,5,12,13,11,10
ZCTA32224,,,,,3,6,6,5,1
ZCTA32223,,,,,3,4,6,2,4
ZCTA32222,,,,1,,5,1,4,2
ZCTA32221,,,,1,6,14,10,11,2
ZCTA32220,,,,2,1,5,6,6,3
ZCTA32219,,,,,5,5,8,6,2
ZCTA32218,,,,3,13,19,28,12,4
ZCTA32217,,,,2,2,8,5,3,5
ZCTA32216,,,,1,4,11,12,11,8
ZCTA32211,,,,3,8,22,14,11,5
ZCTA32210,,1,,8,18,27,25,12,11
ZCTA32209,,,1,7,12,28,27,16,6
ZCTA32208,,,2,,6,17,29,8,5
ZCTA32207,,,,1,3,13,16,15,3
ZCTA32206,,1,,3,9,17,8,10,3
ZCTA32205,,,1,1,2,12,9,8,3
ZCTA32204,,,1,,1,6,1,1,4
ZCTA32202,,,,1,1,3,9,4,2
ZCTA32201,,,,,,1,,,
ZCTA32195,,,,,1,4,5,2,3
ZCTA32193,,,1,,,,1,2,
ZCTA32192,,,,,1,,,,
ZCTA32190,,,,1,,1,,,
ZCTA32189,,,,,2,5,3,9,5
ZCTA32187,,,,,,1,1,1,2
ZCTA32183,,,,,,1,,,
ZCTA32182,,,,,,,,1,
ZCTA32181,,,1,,,,7,2,1
ZCTA32180,,,,,,,3,3,
ZCTA32179,,,,,4,9,7,8,1
ZCTA32177,,,,2,12,16,21,25,18
ZCTA32176,,,,,,3,12,8,11
ZCTA32174,,,,,,,2,1,1
ZCTA32174,,,,1,4,13,33,36,26
ZCTA32173,,,,,,,,,1
ZCTA32169,,,,,,4,4,5,14
ZCTA32168,,,1,1,4,6,26,19,19
ZCTA32164,,,,1,7,9,32,29,15
ZCTA32163,,,,,,3,16,7,6
ZCTA32162,,,,,1,3,30,48,14
ZCTA32159,,,,1,1,10,13,25,17
ZCTA32159,,,,,,1,3,22,13
ZCTA32148,,,,4,2,8,7,5,3
ZCTA32147,,,,,,1,2,,
ZCTA32145,,,2,,1,2,4,5,
ZCTA32141,,,,,1,7,9,12,10
ZCTA32140,,,,,,2,1,,
ZCTA32139,,,,,,1,2,,2
ZCTA32137,,,,,5,9,20,29,18
ZCTA32136,,,,,,3,4,5,1
ZCTA32134,,,1,,1,3,7,5,7
ZCTA32133,,,,,,,1,,
ZCTA32132,,,,,2,1,6,4,3
ZCTA32131,,,,1,,2,1,7,1
ZCTA32130,,,,,,1,2,5,
ZCTA32129,,,,1,1,8,14,8,11
ZCTA32128,,,,1,,1,5,10,7
ZCTA32127,,1,,,6,10,16,11,10
ZCTA32124,,,,,,1,1,,1
ZCTA32119,,,,1,2,9,14,10,12
ZCTA32118,,,,,3,8,10,7,4
ZCTA32117,,,1,3,11,10,24,13,14
ZCTA32115,,,,,1,,,1,
ZCTA32114,1,,,4,7,24,24,19,24
ZCTA32113,,,,1,,2,8,4,1
ZCTA32112,,,,,4,6,8,4,5
ZCTA32110,,,,,1,7,4,5,4
ZCTA32102,,,,,1,,4,3,
ZCTA32102,,,,,,1,1,1,
ZCTA32097,1,,1,1,,4,7,3,
ZCTA32096,,,,,,,1,1,
ZCTA32096,,,1,,,1,3,2,1
ZCTA32095,,,,,,2,4,1,3
ZCTA32094,,,,,,2,2,,1
ZCTA32092,,,,,3,4,3,4,8
ZCTA32091,,,,2,3,4,6,7,2
ZCTA32091,,,,,,,,1,
ZCTA32087,,,,,,4,1,1,
ZCTA32086,,,,1,1,7,16,15,5
ZCTA32084,,,,1,6,14,8,10,4
ZCTA32083,,,,,1,1,1,,1
ZCTA32082,,,,,1,3,4,5,4
ZCTA32081,,,,,,1,1,,
ZCTA32080,,,,,,8,5,3,6
ZCTA32079,,,,,,,,,3
ZCTA32073,,,2,1,8,9,18,23,14
ZCTA32073,,,,,,,,,1
ZCTA32071,,,,,,2,3,4,1
ZCTA32068,,,,2,12,14,18,6,3
ZCTA32066,,,,,,,3,5,3
ZCTA32065,,,,1,4,8,14,5,4
ZCTA32064,,,,2,,4,6,6,9
ZCTA32063,,,,1,3,6,4,7,1
ZCTA32062,,,,,,2,,3,
ZCTA32060,,,,,3,4,6,12,9
ZCTA32059,,,,,3,,1,,
ZCTA32058,,,,,3,2,,1,
ZCTA32055,,,,1,5,8,17,10,2
ZCTA32054,,,1,,4,7,11,8,1
ZCTA32053,,,1,,,2,2,1,
ZCTA32052,,,,1,2,4,5,4,1
ZCTA32046,,,,1,3,4,4,4,
ZCTA32044,,,,,1,1,,,
ZCTA32043,,,,,3,12,8,5,3
ZCTA32042,,,,,,,,,1
ZCTA32040,,,,2,,5,2,2,1
ZCTA32038,,,,1,2,2,7,5,5
ZCTA32034,,,,,2,6,2,5,2
ZCTA32033,,,,,,3,,2,1
ZCTA32025,,,,2,1,11,14,14,3
ZCTA32024,,,,2,5,4,9,10,5
ZCTA32024,,,,,,,1,1,
ZCTA32011,,,1,,2,3,6,1,2
ZCTA32009,,,,,,1,,1,2
ZCTA32008,,,,,,,2,1,1
ZCTA32008,,,,,,1,,1,
ZCTA32008,,,,1,,1,2,1,
ZCTA32003,,,,,2,1,6,3,3
